Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
GMD Weapon System (Ground C2),GWS (GMD),MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
GMD Weapon System Modernization,GWS (GMD),MDA,Northrop Grumman,HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,High,4,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
GPS Next-Gen Operational Control System,GPS OCX,Space Force,Raytheon Intelligence & Space,FA880710C0001,"$4,398,059,466.01",GPS ADVANCED CONTROL SEGMENT OCX NEXT GENERATION OPERATIONAL CONTROL,High,6,FA880710C0001,ADVANCED CONTROL SEGMENT PHASE B BLOCKS 1 AND 2,AURORA,COLORADO,80011,UNITED STATES,2010-02-25,2026-03-31,2026-03-31,,,JLWLJXQ3M995,RAYTHEON COMPANY,541712,AC27,NONE,"$4,401,448,778.90","$810,344,216.82",,,FA8807 MIL COMM AND PNT SSC/CGK,Department of the Air Force,F2TSJA SMC GP
GPS Operational Control System (sustainment),GPS OCX,Space Force,Raytheon,FA880710C0001,"$4,398,059,466.01",GPS ADVANCED CONTROL SEGMENT OCX NEXT GENERATION OPERATIONAL CONTROL,High,3,FA880710C0001,ADVANCED CONTROL SEGMENT PHASE B BLOCKS 1 AND 2,AURORA,COLORADO,80011,UNITED STATES,2010-02-25,2026-03-31,2026-03-31,,,JLWLJXQ3M995,RAYTHEON COMPANY,541712,AC27,NONE,"$4,401,448,778.90","$810,344,216.82",,,FA8807 MIL COMM AND PNT SSC/CGK,Department of the Air Force,F2TSJA SMC GP
GRASP (Raytheon/Peraton),GRASP,DoD,Peraton,80GSFC19C0063,"$1,414,704,681.90",EXPLORATION AND SPACE COMMUNICATIONS ESC SCAN NETWORK NASA GODDARD,Low,0,80GSFC19C0063,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVIDING INNOVATIVE AND MISSION-EFFECTIVE SPACE COMMUNICATIONS AND NAVIGATION SOLUTIONS TO A LARGE COMMUNITY OF DIVERSE CUSTOMERS.  ESC MANAGES OPERATIONAL GEOSTATIONARY COMMUNICATIONS RELAY SATELLITES AND GROUND SYSTEMS FOR THE SPACE COMMUNICATIONS AND NAVIGATION (SCAN) PROGRAM AT NASA HEADQUARTERS.  TO,HERNDON,VIRGINIA,20170,UNITED STATES,2019-10-01,2026-03-31,2026-03-31,1514,"$637,927,785.30",ZBPQEJVECCT4,PERATON INC.,517919,D318,NONE,"$1,414,704,681.90","$1,800,000,000.00",,,NASA GODDARD SPACE FLIGHT CENTER,National Aeronautics and Space Administration,NASA GODDARD SPACE FLIGHT CENTER
Ground Based Strategic Deterrent / Sentinel,GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Ground-Based Interceptor,GBI,MDA,Boeing (lead),HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,High,3,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
Ground-Based Midcourse Defense,GMD,MDA,Boeing (prime); Northrop & Raytheon (NGI),HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE GMD,High,9,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
Ground-Based Strategic Deterrent,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,9,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Ground-Based Strategic Deterrent (Sentinel),GBSD (Sentinel),Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
HHS Advanced Secure Data Repository,ASDR,DoD,GDIT / SAIC (indicative),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Hope 2.0 (prototype),Hope 2.0,Space Force,SAIC,FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Low,0,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
Hypersonic & Ballistic Tracking Space Sensor,HBTSS,MDA,Northrop & L3Harris (co-primes),HQ085621C0003,"$2,395,436,919.18",NEXT GENERATION INTERCEPTOR NGI MISSILE DEFENSE MDA,Medium,2,HQ085621C0003,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",CHANDLER,ARIZONA,85286,UNITED STATES,2021-03-25,2028-12-31,2028-12-31,234,"$1,607,946,416.57",F9PAEKAAXGB6,NORTHROP GRUMMAN SYSTEMS CORPORATION,541715,AC13,NONE,"$2,395,436,919.18","$3,936,086,486.00",,,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA)
INDOPACOM C5ISR Support,INDOPACOM C5ISR,DoD,Amentum,0004,"$7,377,629,917.55",LOGCAP IV SERVICES AFGHANISTAN LOGISTICS SUPPORT,Low,0,,,,,,,,,,,,,,,,,,,,,,,
Information Technology Sustainment for Enhanced Ops,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
INSCOM GILE Support,GILE,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
INSCOM IT Support Services (current TO iteration),IT2S4 / I2TS,Army,GDIT,W56HZV19C0036,"$1,359,959,159.89",MOBILE PROTECTED FIREPOWER MPF EMD ARMORED VEHICLE,Medium,1,W56HZV19C0036,MOBILE PROTECTED FIREPOWER ENGINEERING MANUFACTURING AND DEVELOPMENT / MIDDLE TIER ACQUISITION,STERLING HEIGHTS,MICHIGAN,48310,UNITED STATES,2018-12-17,2026-10-17,2027-12-31,471,"$299,385,530.49",HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,336992,2350,NONE,"$1,359,959,159.89","$1,609,571,189.28",,,W4GG HQ US ARMY TACOM,Department of the Army,W6DX PEO GCS WARREN
INSCOM IT Support Services III,I2TS-III,Army,GDIT,W56HZV19C0036,"$1,359,959,159.89",MOBILE PROTECTED FIREPOWER MPF EMD ARMORED VEHICLE,Medium,1,W56HZV19C0036,MOBILE PROTECTED FIREPOWER ENGINEERING MANUFACTURING AND DEVELOPMENT / MIDDLE TIER ACQUISITION,STERLING HEIGHTS,MICHIGAN,48310,UNITED STATES,2018-12-17,2026-10-17,2027-12-31,471,"$299,385,530.49",HAWKSQF848W7,GENERAL DYNAMICS LAND SYSTEMS INC.,336992,2350,NONE,"$1,359,959,159.89","$1,609,571,189.28",,,W4GG HQ US ARMY TACOM,Department of the Army,W6DX PEO GCS WARREN
Integrated Air & Missile Defense,IAMD,Army,Raytheon,W31P4Q15C0022,"$5,608,431,752.51",PATRIOT FIRE UNITS MISSILE DEFENSE AIR DEFENSE,High,5,W31P4Q15C0022,TEN FIRE UNITS FOR QATAR,ANDOVER,MASSACHUSETTS,01810,UNITED STATES,2014-12-19,2025-05-31,2025-05-31,29981,"$14,053,592,412.80",XSV6AZJ6SDJ7,RAYTHEON COMPANY,336414,1425,NONE,"$5,608,431,752.51","$2,442,287,695.74",,,W6QK ACC-RSA,Department of the Army,W6DV PEO M & S REDSTONE
Integrated Base Defense Security System,IBDS,Army,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,2,70T04019C9DAP3006,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,RESTON,VIRGINIA,20190,UNITED STATES,2019-10-01,2025-03-31,2025-03-31,222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",811219,J063,NONE,"$862,620,736.01","$1,013,951,305.24",,,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY
Integrated Digital Engineering Environment,IDEE,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,3,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Integrated Situational Awareness Environment,inSITE,Army,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Integrated Situational Awareness Tool Environment,inSITE,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Integrated Situational Awareness Tool Environment (Intel Cyber),inSITE,DISA,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Integrated Strategic & Expeditionary Operations (DIA ISEO variant),ISEO (ISE Ops),DIA,Leidos,70T04019C9DAP3006,"$862,620,736.01",INTEGRATED LOGISTICS SUPPORT (ILS) TSA TRANSPORTATION SECURITY EQUIPMENT,Medium,2,70T04019C9DAP3006,THE PURPOSE OF THIS CONTRACT IS FOR LEIDOS TO PROVIDE THE TRANSPORTATION SECURITY ADMINISTRATION (TSA) WITH AN INTEGRATED LOGISTICS SUPPORT (ILS) PROGRAM TO SUSTAIN GOVERNMENT TRANSPORTATION SECURITY EQUIPMENT (TSE) OWNED AND OPERATED BY TSA.,RESTON,VIRGINIA,20190,UNITED STATES,2019-10-01,2025-03-31,2025-03-31,222,"$556,879,966.00",UE9QJD4KK1L6,"LEIDOS, INC.",811219,J063,NONE,"$862,620,736.01","$1,013,951,305.24",,,SECURITY TECHNOLOGY,Transportation Security Administration,SECURITY TECHNOLOGY
Intelligence Community Infrastructure Support,I2TS-Next,Army,Jacobs,140R4024C0013,"$263,095,350.76",SAN JUAN LATERAL WATER TREATMENT PLANT INFRASTRUCTURE,Medium,1,140R4024C0013,SAN JUAN LATERAL WATER TREATMENT PLANT,FARMINGTON,NEW MEXICO,87401,UNITED STATES,2024-08-30,2029-12-24,2030-12-24,16,"$249,531,897.96",WEBHVDKSC4T5,JACOBS PROJECT MANAGEMENT CO.,237110,Y1NE,NONE,"$263,095,350.76","$267,548,914.76",,,UPPER COLORADO REGIONAL OFFICE,Bureau of Reclamation,FOUR CORNERS CONSTRUCTION OFFICE
Intelligence Systems Enterprise Operations,ISEO,DIA,Leidos,HHSN261200800001E,"$4,813,063,024.90",OPER OF GOVT R&D GOCO FACILITIES BIOMEDICAL RESEARCH NIH NCI,Medium,1,HHSN261200800001E,TAS::75 0849::TAS  OPER OF GOVT R&D GOCO FACILITIES,FREDERICK,MARYLAND,21702,UNITED STATES,2008-09-26,2024-09-06,2024-09-06,,,HV8BH9BPG8Y9,LEIDOS BIOMEDICAL RESEARCH INC,561210,M181,NONE,"$4,813,063,024.90","$70,988,409,497.44",,,,,
Intelligence Systems Infrastructure Tools & Enhancements,inSITE,DoD,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Low,0,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
ITEMSS (IT Enterprise Mgmt Systems Solution),ITEMSS,Army,CACI,W15QKN15C0049,"$733,720,754.55",INTEGRATED PERSONNEL AND PAY SYSTEM ARMY IPPS-A HR,Medium,2,W15QKN15C0049,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",CHANTILLY,VIRGINIA,20151,UNITED STATES,2015-05-18,2025-06-02,2025-06-02,16,"$35,755,164.88",EPPXR2P9KYU6,"CACI-ISS, LLC",541511,D307,NONE,"$733,720,754.55","$800,761,144.56",,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS
JGLASS II – Shared Services,JGLASS II,DHS,Peraton / SAIC (indicative),GST0011AJ0025,"$609,128,623.96",DHS CLASSIFIED NETWORKS OPERATIONS MAINTENANCE HOMELAND SECURITY,Medium,2,GST0011AJ0025,"IS TO PROVIDE SUPPORT FOR THE CONTINUED OPERATIONS, MAINTENANCE AND EVOLUTION OF DEPARTMENT OF HOMELAND SECURITY (DHS) CLASSIFIED NETWORKS. DHS CLASSIFIED NETWORKS ARE A FEDERAL ENTERPRISE INFRASTRUCTURE FOR CLASSIFIED INFORMATION SHARING WHICH EXTEND EXISTING US GOVERNMENT CAPABILITIES NOT ONLY TO THE DEPARTMENT OF HOMELAND SECURITY AND ITS COMPONENTS, BUT TO OTHER FEDERAL GOVERNMENT AGENCIES, AND TO FIRST RESPONDERS AT THE STATE, LOCAL, AND TRIBAL LEVELS.",MC LEAN,VIRGINIA,22101,UNITED STATES,2011-02-02,2018-05-02,2018-05-02,315,"$535,137,651.00",JER6HDF9APP1,NORTHROP GRUMMAN INFORMATION TECHNOLOGY INC,541512,R499,NONE,"$609,128,623.96","$1,114,022,610.00",GS00Q09BGD0056,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",,,
Joint Staff J7 Support,JS J7,DoD,HII,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
Joint Tactical Ground Station Early Warning,JTAGS,Army,Northrop (prime/sub),N0001918C1037,"$8,447,894,780.67",E-2D ADVANCED HAWKEYE AIRCRAFT NAVY AIRBORNE EARLY WARNING,Medium,2,N0001918C1037,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),MELBOURNE,FLORIDA,32904,UNITED STATES,2018-02-15,2030-02-01,2030-02-01,13704,"$16,480,621,337.03",PK8PM2GNVMP8,NORTHROP GRUMMAN SYSTEMS CORPORATION,336411,1510,NONE,"$8,447,894,780.67","$8,464,190,972.67",,,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND
Joint Tactical Ground Stations,JTAGS,Space Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,1,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Joint Warfighting Cloud Capability,JWCC,DoD,AWS; Microsoft; Google; Oracle,W91CRB20F0448,"$290,537,976.81",GENERAL SERVICES JEDI JWCC CLOUD,High,5,W91CRB20F0448,AWARD OF 11 MONTH TASK ORDER FOR GENERAL SERVICES THROUGH 31 JULY 2021.,ABERDEEN PROVING GROUND,MARYLAND,21005,UNITED STATES,2020-09-01,2024-05-31,2024-05-31,83,"$44,444,302.06",H2RGSKWXKHQ5,"AMENTUM TECHNOLOGY, INC.",541330,R425,,"$290,537,976.81","$315,913,231.03",W91CRB15D0018,IGF::OT::IGF ATC TEST SUPPORT SERVICES,W6QK ACC-APG,Department of the Army,W4QU USA ABERDEEN TEST CENTER
JSP Enterprise IT,JSP,DoD,CACI,47QFRA19F0011,"$708,253,079.87",DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE CDM DEFEND CYBER,Medium,1,47QFRA19F0011,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,ARLINGTON,VIRGINIA,22202,UNITED STATES,2019-05-08,2024-04-30,2024-04-30,2,"$10,015,496.00",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541512,7010,,"$708,253,079.87","$1,026,717,176.60",GS00Q09BGD0020,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",GSA FAS AAS REGION 8,Federal Acquisition Service,
JSP ETM (Pentagon IT),JSP ETM,DoD,CACI,GSQ0017AJ0006,"$960,038,373.03",JIDA FS/DE TASK ORDER COUNTER IED,Low,0,GSQ0017AJ0006,"AWARD MADE TO CACI, INC.-FEDERAL FOR JIDA FS/DE TASK ORDER, IN THE AMOUNT NOT TO EXCEED $1,773,158,264.00. IGF::CL::IGF",RESTON,VIRGINIA,20191,UNITED STATES,2016-10-28,2022-02-28,2022-02-28,92,"$214,206,282.90",N3PBJAVNKF61,"CACI, INC. - FEDERAL",541712,B538,NONE,"$960,038,373.03","$2,426,356,180.00",GS00Q14OADU407,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MMULTIPLE AGENCY CONTRACT,IGF::OT::IGF",GSA FAS AAS FEDSIM,Federal Acquisition Service,DEFENSE THREAT REDUCTION AGENCY
