Program Name,Acronym,Agency Owner,Program Type,Priority Level,Confidence Level,PTS Involvement,Contract Number,tango_piid,parent_piid,Contract Value,Contract Value (Consolidated),total_contract_value,Base Contract Value (FPDS),Base + Options Value (FPDS),obligated,subawards_total,subawards_count,Prime Contractor,Prime Contractor 1,Prime Contractor (Consolidated),recipient_name,recipient_uei,Key Subcontractors,Known Subcontractors,Period of Performance,Period of Performance (Original),PoP Start,PoP End,period_start,period_end,PoP Start (Consolidated),PoP End (Consolidated),ultimate_completion,Ultimate Completion (Consolidated),Recompete Date,Contract Signed Date (FPDS),Contract Effective Date (FPDS),Current Completion Date (FPDS),Ultimate Completion Date (FPDS),Key Locations,Performance Location (TANGO),Performance Location (FPDS),pop_city,pop_state,pop_zip,pop_country,NAICS Code (Consolidated),naics_code,FPDS NAICS Code,NAICS Description,PSC Code (Consolidated),psc_code,FPDS PSC Code,PSC Description,set_aside,Technical Stack,Tech Stack (Basic),Keywords/Signals,Functional Areas,Typical Roles,Job Titles,Labor Rate Min,Labor Rate Max,Labor Rate Average,Education Requirement,Experience Requirement,Annual Salary Range,CALC API Status,Contract Vehicle Used,Contract Vehicle/Type,awarding_office,awarding_agency,funding_office,COR/COTR,Program Manager,Clearance Requirements,Security Requirements,Match Confidence,Match Score,Incumbent Score,Source Evidence,Notes,Pain Points,Related Jobs,tango_description,parent_description,Budget
Army AvMC Enterprise IT Support,EITSS,Army,,High,High,,,,,$404M,$404M,,,,,,,,IPTA (SDVOSB),IPTA (SDVOSB),,,,"Larger firms as needed (SAIC, Leidos, etc., for surge)",,2023–2028,2023,2028,,,2023,2028,,,,,,,,Redstone Arsenal AL,,,,,,,,,,,,,,,,,,"“Help desk, sys admins, net ops”; “IPTA scaling up 100+ positions at Redstone”",,Help desk; sysadmins; network operations; user support; IT ops,,,,,,,,Not Queried,,Single Award,,,,,,Secret,,,,,IPTA AvMC EITSS description,,,,,,
Army AvMC Enterprise IT Support Services,EITSS,Army,,High,High,,,,,$404M,$404M,,,,,,,,IPTA (SDVOSB),IPTA (SDVOSB),,,,SAIC / Leidos (minor); local SBs,,2022–2027,2022,2027,,,2022,2027,,,,,,,,Redstone Arsenal / Huntsville AL,,,,,,,,,,,,,,,,,,“IPTA AvMC EITSS… hiring… Huntsville”; “Insight Global posting IT Support Tech”,,Help desk; systems & network admin; cyber analyst; asset management,,,,,,,,Not Queried,,GWAC,,,,,,Secret,,,,,IPTA award reference,,,,,,
Army Backbone Infrastructure Modernization – Task Order 2,BIM TO2,Army,Professional Services,Medium,Medium,,W15QKN15C0049,W15QKN15C0049,,$3M,$3M,"$800,761,144.56 ",,,"$733,720,754.55 ","$35,755,164.88 ",16,,CACI,CACI,"CACI-ISS, LLC",EPPXR2P9KYU6,,,,OCONUS (Korea/Japan); Buckley SFB CO,,,5/18/2015,6/2/2025,5/18/2015,6/2/2025,6/2/2025,6/2/2025,,,,,,Secret → TS/SCI,"CHANTILLY, VIRGINIA",,CHANTILLY,VIRGINIA,20151,UNITED STATES,541511,541511,,,D307,D307,,,NONE,,,C5ISR / IT Ops,,“CACI BIM TO2 Wireless Network Engineer – OCONUS”,,,,,,,,Not Queried,,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS,,,Secret,,Medium,2,,Medium,,,,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",,
Army Backbone Infrastructure Modernization – Task Order 3,BIM TO3,Army,Professional Services,Medium,Medium,,W15QKN15C0049,W15QKN15C0049,,$3M,$3M,"$800,761,144.56 ",,,"$733,720,754.55 ","$35,755,164.88 ",16,,CACI,CACI,"CACI-ISS, LLC",EPPXR2P9KYU6,,,,Buckley SFB CO; CONUS sites,,,5/18/2015,6/2/2025,5/18/2015,6/2/2025,6/2/2025,6/2/2025,,,,,,TS/SCI,"CHANTILLY, VIRGINIA",,CHANTILLY,VIRGINIA,20151,UNITED STATES,541511,541511,,,D307,D307,,,NONE,,,C5ISR / IT Ops,,“CACI BIM TO3 – Network Operations Engineer TS/SCI”,,,,,,,,Not Queried,,,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS,,,Secret,,Medium,2,,Medium,,,,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",,
Army Enterprise Service Desk,AESD,Army,,High,High,,FA877319FA023,FA877319FA023,GS00Q14OADS129,$757M,$757M,"$47,518,825.61 ",,,"$39,874,973.53 ",,,,SAIC,SAIC,MOSAIC TECHNOLOGIES GROUP LLC,K3XCTTC4VDR5,,"Large recruiting firms (Insight Global, TEKsystems, etc.)",,~2022–2027+,2022,2027,4/28/2019,10/27/2025,4/28/2019,10/27/2025,7/27/2026,7/27/2026,,,,,,24×7 CONUS call centers; virtual & global remote support,"SAN ANTONIO, TEXAS",,SAN ANTONIO,TEXAS,78243,UNITED STATES,541330,541330,,,R425,R425,,,,,,“Global service desk 24×7”; “hundreds of Tier 1–2 agents”,,Tier 1–2 support; ITSM/ServiceNow; sysadmin overflow; identity/account support,,,,,,,,Not Queried,,Single Award,FA8773 ACC 38 CONS,Department of the Air Force,67 CW,,,"Public Trust, Secret",,Medium,1,,SAIC AESD references (Top 20 Programs),,,,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",
Army Enterprise Service Management Framework,AESMF,Army,Professional Services,Medium,Medium,,W15QKN19F1290,W15QKN19F1290,W52P1J18DA047,,"$45,135,228.31 ","$45,135,228.31 ",,,"$39,320,458.07 ",,,,SAIC,SAIC,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,,,Overlaps with AESD site footprint (CONUS),,,8/28/2019,8/29/2025,8/28/2019,8/29/2025,8/29/2025,8/29/2025,,,,,,Secret / TS,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,541519,541519,,,R425,R425,,,,,,IT Ops,,"“AESMF, ITIL, Army, Adelphi/Aberdeen, 24×7”",,,,,,,,Not Queried,,,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY,,,Secret,,Medium,2,,Medium,,,,OPS ~ CLIN 1 LABOR,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,
Army Futures Command – Project Convergence,,Army,Data,Medium,Medium,,W15QKN19F1290,W15QKN19F1290,W52P1J18DA047,,"$45,135,228.31 ","$45,135,228.31 ",,,"$39,320,458.07 ",,,,SAIC (major integrator; autonomy & AI work),SAIC (major integrator; autonomy & AI work),"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,,,Yuma Proving Ground AZ; Austin TX labs,,,8/28/2019,8/29/2025,8/28/2019,8/29/2025,8/29/2025,8/29/2025,,,,,,Secret,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,541519,541519,,,R425,R425,,,,,,R&D / C5ISR,,“AI/autonomy experiments”; “Project Convergence”,,,,,,,,Not Queried,,RECURRING ANNUAL CYCLES,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY,,,Top Secret,,Medium,1,,Medium,,,,OPS ~ CLIN 1 LABOR,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,
Army Integrated Battle Command System,IBCS,Army,,High,High,,HQ085621C0003,HQ085621C0003,,$2.7B,$2.7B,"$3,936,086,486.00 ",,,"$2,395,436,919.18 ","$1,607,946,416.57 ",234,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORPORATION,F9PAEKAAXGB6,,Lockheed Martin; Raytheon (sensors/missiles); others,,2019–2030,2019,2030,3/25/2021,12/31/2028,3/25/2021,12/31/2028,12/31/2028,12/31/2028,,,,,,Huntsville AL; Fort Sill OK; distributed test ranges,"CHANDLER, ARIZONA",,CHANDLER,ARIZONA,85286,UNITED STATES,541715,541715,,,AC13,AC13,,,NONE,,,"“IBCS,” “Missile Defense,” “Northrop,” “Command and Control”",,Systems engineers; radar engineers; C2 software developers; missile integration engineers,,,,,,,,Not Queried,,Production,MISSILE DEFENSE AGENCY (MDA),Missile Defense Agency,MISSILE DEFENSE AGENCY (MDA),,,"Secret, Top Secret",,Medium,2,,Top 20 DoD Programs,,,,"DESIGN, DEVELOPMENT, AND DEVELOPMENTAL TESTING OF THE NEXT GENERATION INTERCEPTOR (NGI) ALL-UP-ROUND (AUR)",,
Army Integrated Battle Command System Support,IBCS,Army,,Medium,Medium,,W15QKN15C0049,W15QKN15C0049,,Multi-$B,Multi-$B,"$800,761,144.56 ",,,"$733,720,754.55 ","$35,755,164.88 ",16,,Northrop Grumman (prime); CACI (support),Northrop Grumman (prime); CACI (support),"CACI-ISS, LLC",EPPXR2P9KYU6,,SAIC; Raytheon; Torch; Dynetics,,2010–present,2010,Ongoing,5/18/2015,6/2/2025,5/18/2015,6/2/2025,6/2/2025,6/2/2025,,,,,,Huntsville AL; White Sands NM; Fort Bliss TX,"CHANTILLY, VIRGINIA",,CHANTILLY,VIRGINIA,20151,UNITED STATES,541511,541511,,,D307,D307,,,NONE,,,“Army IBCS… CACI hiring Systems Integration Engineers in Huntsville”,,Systems Integration; Test; SW Eng,,,,,,,,Not Queried,,DEV/INTEGRATION,W6QK ACC-PICA,Department of the Army,W6DY PEO EIS,,,"Secret, Top Secret",,High,3,,,,,,"IGF::CL,CT::IGF SYSTEM INTEGRATOR FOR INCREMENT II OF INTEGRATED PERSONNEL AND PAY SYSTEM -- ARMY (IPPS-A)",,
Army IT Enterprise Mgmt Systems Solution,ITEMSS,Army,Cyber,High,High,,47QFRA19F0011,47QFRA19F0011,GS00Q09BGD0020,$880M,$880M,"$1,026,717,176.60 ",,,"$708,253,079.87 ","$10,015,496.00 ",2,,CACI,CACI,"CACI, INC. - FEDERAL",N3PBJAVNKF61,,MetroStar; Octo; other Agile Dev partners,,2019–2026,2019,2026,5/8/2019,4/30/2024,5/8/2019,4/30/2024,4/30/2024,4/30/2024,,,,,,Arlington VA; Springfield VA; National Guard sites nationwide,"ARLINGTON, VIRGINIA",,ARLINGTON,VIRGINIA,22202,UNITED STATES,541512,541512,,,7010,7010,,,,,,"“CACI Agile Solution Factory… software, cyber, network support, distance learning… modernizing legacy systems”",,Agile software developers; cybersecurity engineers; trainers; distance-learning and ERP support,,,,,,,,Not Queried,,GWAC,GSA FAS AAS REGION 8,Federal Acquisition Service,,,,"Public Trust, Secret",,High,3,,ITEMSS award and capability description,,,,DYNAMIC AND EVOLVING FEDERAL ENTERPRISE NETWORK DEFENSE GROUP A DEFEND A  OPTION EXERCISE AND TRANSFER FROM PIID 47QFCA18F0050,"THE SCOPE OF THE ALLIANT GWAC INCLUDES ANY AND ALL COMPONENTS OF AN INTEGRATED INFORMATION TECHNOLOGY (IT) SOLUTION, INCLUDING ALL CURRENT AND ANY NEW TECHNOLOGIES WHICH MAY EMERGE DURING THE LIFE CYC",
Army IT Enterprise Solutions – 3 Services,ITES-3S,Army,Cyber,High,High,,,,,$12.1B,$12.1B,,,,,,,,135 awardees,135 awardees,,,,Numerous (large & small),,2018–2027,2018,2027,,,2018,2027,,,,,,,,Army / DoD enterprise-wide,,,,,,,,,,,,,,,,,,“ITES-3S… $12.1B… 135 awardees… sub-heavy work”,,NetOps; cyber; software engineering; help desk; IT support; cloud & modernization services,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,,,,IDIQ listing in program universe,,,,,,
Army ITES-3S,ITES-3S,Army,,High,High,,,,,$12.1B,$12.1B,,,,,,,,135 primes,135 primes,,,,Extensive teaming (large & small),,2018–2027,2018,2027,,,2018,2027,,,,,,,,Army-wide,,,,,,,,,,,,,,,,,,“Army ITES-3S… primary Army IT services vehicle”,,Help desk; network ops; cyber analysts; field IT technicians,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,,,,Same as above (expanded row),,,,,,
Army Missile & Space R&D Support (Huntsville),,Army,,Medium,Medium,,F4261098C0001,F4261098C0001,,,"$10,469,892,390.26 ","$10,469,892,390.26 ",,,"$9,497,754,606.48 ",,,,Dynetics; Northrop teams,Dynetics; Northrop teams,TRW INC,TDJLWKKV1GJ3,,,,Ongoing,,Ongoing,12/22/1997,11/30/2025,12/22/1997,11/30/2025,11/30/2025,11/30/2025,,,,,,Huntsville AL,"ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,541330,541330,,,L014,L014,,,NONE,,,“Army Missile & Space R&D… multiple postings (Secret)”,,SW engineers; electrical engineers; full-stack developers; test engineers,,,,,,,,Not Queried,,Services,,,,,,Secret,,Medium,2,,Multiple Huntsville postings referencing Army missile & space roles,,,,199807!5700!0128!GE50 !OGDEN ALC/LMK                   !F4261098C0001  !A!*!*                  !19971222!20120930!621385392!004179453!004179453!N!11982!TRW INC                       !1 SPACE PARK BLVD         !REDONDO BEACH       !CA!90278!60018!037!06!REDONDO BEACH       !LOS ANGELES           !CALIFORNIA!0001!+000000881011!N!N!000000000000!L014!TECH REP SVCS/GUIDED MISSILES                     !A2 !MISSILE AND SPACE SYSTEMS     !3CMU!LGM-30 MINUTEMAN              !8711!3!*!*!*!B!B!*!A !N!R!2!0,,
Army Next-Gen C2 Prototype,NGC2,Army,,Medium,Medium,,FA882024FB003,FA882024FB003,FA882024DB001,$100M,$100M,"$25,375,000.00 ",,,"$19,333,902.53 ",,,,Anduril,Anduril,"ANDURIL INDUSTRIES, INC.",KC3CH2MSK7Q3,,Palantir; Striveworks; Govini; Microsoft; RII,,2025,2025,,9/27/2024,3/26/2026,9/27/2024,3/26/2026,3/26/2026,3/26/2026,,,,,,Fort Irwin test sites,"COSTA MESA, CALIFORNIA",,COSTA MESA,CALIFORNIA,92626,UNITED STATES,541715,541715,,,AC32,AC32,,,,,,“C2 prototype”; data mesh; edge compute,,Data mesh engineers; edge app developers; AI/ML integration engineers,,,,,,,,Not Queried,,OTA,FA8820  SUSTAINMENT SDACP SSC/PKL,Department of the Air Force,WASHINGTON HEADQUARTERS SERVICES,,,Secret,,Medium,1,,Prototype description in user sheet,,,,SDANET SBIR III SINGLE AWARD IDIQ TASK ORDER FOR ANDURIL INDUSTRIES TO PERFORM ADDITIONAL FIELDING INTEGRATION OF LATTICED MESH NETWORK COMMUNICATIONS CAPABILITY TO SUPPORT WORLDWIDE SDANET CONNECTED SITES FOR DATA TO FLOW FROM INTEGRATED SENSORS.,SBIR III FOLLOW-ON SINGLE AWARD IDIQ FOR LATTICED MESHED NETWORKING CAPABILITIES.,
Army Reprogramming Analysis Team,ARAT,Army,Professional Services,Medium,Medium,,,,,,,,,,,,,,,,,,,,,APG / CONUS,,,,,,,,,,,,,,Secret,,,,,,,,,,,,,,,,,,C5ISR,,“EW reprogramming”; ARAT mission,,,,,,,,,,,,,,,,Top Secret,,,,,Medium,,,,,,
Army Research Lab / Adelphi Labs,ARL,Army,Professional Services,Medium,Medium,,W15QKN19F1290,W15QKN19F1290,W52P1J18DA047,,"$45,135,228.31 ","$45,135,228.31 ",,,"$39,320,458.07 ",,,,SAIC,SAIC,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,TEKsystems; Insight Global,,Adelphi MD,,,8/28/2019,8/29/2025,8/28/2019,8/29/2025,8/29/2025,8/29/2025,,,,,,Secret,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,541519,541519,,,R425,R425,,,,,,IT Ops / R&D,,“Adelphi desk ops… backfill gaps… 24×7… Tier-2/3… ServiceNow”,,,,,,,,Not Queried,,,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY,,,Secret,,High,3,,High,,,,OPS ~ CLIN 1 LABOR,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,
Army Responsive Strategic Sourcing for Services,RS3,Army,Professional Services,High,High,,,,,$37.4B,$37.4B,,,,,,,,261 primes,261 primes,,,,Many subs,,2017–2027,2017,2027,,,2017,2027,,,,,,,,CONUS/OCONUS,,,,,,,,,,,,,,,,,,“RS3… 37.4B… 261 primes”,,C4ISR engineering; IT; logistics,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,,,,RS3 reference repeats,,,,,,
Army RS3 (Expanded PEO EIS Listing),RS3,Army,,Medium,Medium,,W15QKN19F1290,W15QKN19F1290,W52P1J18DA047,$37B,$37B,"$45,135,228.31 ",,,"$39,320,458.07 ",,,,"Multiple (Belcan, SAIC, many)","Multiple (Belcan, SAIC, many)","APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,Prime Technical Services (sub),,2018–2028,2018,2028,8/28/2019,8/29/2025,8/28/2019,8/29/2025,8/29/2025,8/29/2025,,,,,,U.S. Army CONUS/OCONUS,"COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,541519,541519,,,R425,R425,,,,,,“RS3 Army Contract Vehicle”; “Belcan contract in Blueprint”,,Engineering services; IT; logistics; training; program support,,,,,,,,Not Queried,,IDIQ,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY,,,Secret,,Medium,1,,Vehicle entry in RS3 listing,,,,OPS ~ CLIN 1 LABOR,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,
Army RS3 (Primary Listing),RS3,Army,Professional Services,High,High,,,,,$37.4B,$37.4B,,,,,,,,"261 primes (65 large, 196 small)","261 primes (65 large, 196 small)",,,,Broad teaming across primes/subs,,2017–2027,2017,2027,,,2017,2027,,,,,,,,Army & DoD (CONUS/OCONUS),,,,,,,,,,,,,,,,,,“RS3… $37.4B… 261 primes… broad C4ISR support… teaming heavy”,,C4ISR engineers; analysts; IT support; program staff,,,,,,,,Not Queried,,IDIQ,,,,,,Secret,,,,,RS3 entry in Top 20 Programs,,,,,,
Army Test & Evaluation Command,ATEC,Army,R&D,Medium,Medium,,,,,,,,,,,,,,Multiple,Multiple,,,,Multiple,,Upcoming,,,,,,,,,,,,,,APG / Yuma / other ranges,,,,,,,,,,,,,,,,,,“ATEC test”; T&E mission,,Test engineers; instrumentation support; analysts,,,,,,,,Not Queried,,RECOMPETE,,,,,,Secret,,,,,listed in sheet,,,,,,
ARNG G-2 Intelligence IT Support,,Army,Cyber,Medium,Medium,,W15QKN19F1290,W15QKN19F1290,W52P1J18DA047,,"$45,135,228.31 ","$45,135,228.31 ",,,"$39,320,458.07 ",,,,SAIC,SAIC,"APOGEE-SAIC CAPABILITIES INTEGRATOR, LLC",EMX1P81U9GG5,,,,~2010s (ongoing),,Ongoing,8/28/2019,8/29/2025,8/28/2019,8/29/2025,8/29/2025,8/29/2025,,,,,,"Guard intel sites (e.g., Fort Belvoir)","COLORADO SPRINGS, COLORADO",,COLORADO SPRINGS,COLORADO,80920,UNITED STATES,541519,541519,,,R425,R425,,,,,,IAE,,ARCYBER Information Advantage Enterprise,,,,,,,,Not Queried,,Services,W6QK ACC-PICA,Department of the Army,W00F OFC DEP UNDER SEC ARMY,,,TS/SCI,,Medium,1,,Peraton,,,,OPS ~ CLIN 1 LABOR,INFORMATION TECHNOLOGY ENTERPRISE SOLUTIONS- 3 SERVICES (ITES-3S) MULTIPLE AWARD INDEFINITE DELIVERY INDEFINITE QUANTITY (MAIDIQ) BASE CONTRACT AWARD. THIS AWARD REPRESENTS 1 OF THE 135 ITES-3S CONTRA,
ASA(ALT) CITRA,CITRA,Army,Intel,Medium,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCR,,,,,,,,,,,,,,,,,,,,ARNG G-2 Intelligence IT Support,,,,,,,,,,PROGRAM,,,,,,Secret,,,,,SAIC,,,,,,
AUSA Modernization Portfolios (aggregate),FVL / LRPF / AMD / NGCV / Network / Soldier,Army,Logistics,Medium,Medium,,,,,,,,,,,,,,Multiple primes (see rows),Multiple primes (see rows),,,,Multiple,,Ongoing,,Ongoing,,,,Ongoing,,,,,,,,Redstone AL; Fort Sill OK; Detroit Arsenal MI; APG MD; Fort Benning GA,,,,,,,,,,,,,,,,,,CITRA,,ASA(ALT) CITRA Enterprise IT Program,,,,,,,,Not Queried,,PORTFOLIO,,,,,,"Secret, Top Secret",,,,,,,,,,,
AvMC Enterprise IT Support Services,EITSS,Army,Professional Services,Medium,Medium,,,,,,,,,,,,,,IPTA,IPTA,,,,,,Redstone Arsenal AL,,,,,,,,,,,,,,Secret (assumed),,,,,,,,,,,,,,,,,,IT Ops,,“PTS placed cleared admins at Redstone”,,,,,,,,Not Queried,,,,,,,,Secret,,,,,Medium,,,,,,
Basic Ordering Agreement – Surge Staffing,BOA,Air Force,,Medium,Medium,,FA821920C0006,FA821920C0006,,,"$13,360,972,363.51 ","$13,360,972,363.51 ",,,"$10,801,259,923.19 ","$27,743,434,931.93 ",4019,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,Prime Technical Services,,Ongoing,,Ongoing,9/8/2020,3/10/2029,9/8/2020,3/10/2029,3/10/2029,3/10/2029,,,,,,Roy UT; Colorado Springs CO; Hill AFB UT,"ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,336414,336414,,,AC24,AC24,,,NONE,,,“General surge & staff augmentation”,,ISSOs; DevOps engineers; testers; logistics staff,,,,,,,,Not Queried,,BOA,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV,,,Secret,,Medium,1,,NG BOA supported programs list,,,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,
Basic Ordering Agreement (Lockheed Martin),BOA,DoD,Professional Services,Medium,Medium,,N0001917C0001,N0001917C0001,,,"$45,265,737,305.46 ","$45,265,737,305.46 ",,,"$35,135,514,910.20 ","$19,006,059,279.59 ",12781,,Lockheed Martin,Lockheed Martin,LOCKHEED MARTIN CORPORATION,G4KDGE4JFFK7,,Multiple,,Ongoing,,Ongoing,11/17/2017,3/31/2031,11/17/2017,3/31/2031,3/31/2031,3/31/2031,,,,,,Various locations,"FORT WORTH, TEXAS",,FORT WORTH,TEXAS,76108,UNITED STATES,336411,336411,,,1510,1510,,,NONE,,,BOA,,Varies,,,,,,,,Not Queried,,BOA,NAVAL AIR SYSTEMS COMMAND,Department of the Navy,NAVAL AIR SYSTEMS COMMAND,,,Secret,,Low,0,,,,,,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT,,
Basic Ordering Agreement (NG BOA),BOA,Other,,Medium,Medium,,FA821920C0006,FA821920C0006,,,"$13,360,972,363.51 ","$13,360,972,363.51 ",,,"$10,801,259,923.19 ","$27,743,434,931.93 ",4019,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,Prime Technical Services (sub),,Ongoing,,Ongoing,9/8/2020,3/10/2029,9/8/2020,3/10/2029,3/10/2029,3/10/2029,,,,,,"Roy, UT; Hill AFB; Colorado Springs, CO","ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,336414,336414,,,AC24,AC24,,,NONE,,,"Surge Support, Staff Augmentation",,"ISSOs, Testers, DevOps, Logistics",,,,,,,,Not Queried,,BOA,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV,,,Secret,,Low,0,,Northrop programs supported by Prime TS,,,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,
Basic Ordering Agreement (NG Staff Augmentation),BOA,Other,,Medium,Medium,,FA821920C0006,FA821920C0006,,,"$13,360,972,363.51 ","$13,360,972,363.51 ",,,"$10,801,259,923.19 ","$27,743,434,931.93 ",4019,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,Prime Technical Services,,Ongoing,,Ongoing,9/8/2020,3/10/2029,9/8/2020,3/10/2029,3/10/2029,3/10/2029,,,,,,Roy UT; Colorado Springs CO; Hill AFB UT,"ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,336414,336414,,,AC24,AC24,,,NONE,,,“General surge & staff augmentation”; “BOA”,,ISSOs; testers; DevOps engineers; logistics support staff,,,,,,,,Not Queried,,IDIQ,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV,,,"Secret, Top Secret",,Low,0,,"“BOA – General surge & staff augmentation – ISSOs, Testers, DevOps, Logistics – Roy, UT / COS / Hill AFB”",,,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,
Basic Ordering Agreement Support (Northrop Surge),BOA,Other,,Medium,Medium,,FA821920C0006,FA821920C0006,,,"$13,360,972,363.51 ","$13,360,972,363.51 ",,,"$10,801,259,923.19 ","$27,743,434,931.93 ",4019,,Northrop Grumman,Northrop Grumman,NORTHROP GRUMMAN SYSTEMS CORP,D8QQPFNYJD63,,Prime TS,,Ongoing,,Ongoing,9/8/2020,3/10/2029,9/8/2020,3/10/2029,3/10/2029,3/10/2029,,,,,,Roy UT; Colorado Springs CO; Hill AFB UT,"ROY, UTAH",,ROY,UTAH,84067,UNITED STATES,336414,336414,,,AC24,AC24,,,NONE,,,"“Surge Support, ISSO, Logistics”",,ISSOs; testers; DevOps engineers,,,,,,,,Not Queried,,BOA,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV,,,"Secret, Top Secret",,Low,0,,“BOA – general surge and staff augmentation”,,,,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),,
