Program Name,Acronym,Agency Owner,Budget,COR/COTR,Clearance (Original),Clearance Requirements,Confidence Level,Contract Value,Contract Vehicle,Contract Vehicle Used,Contract Vehicle/Type,Incumbent Score,Key Locations,Key Subcontractors,Keywords/Signals,Known Subcontractors,Notes,PTS Involvement,Pain Points,Period of Performance,Period of Performance (Original),PoP End,PoP Start,Prime Contractor,Prime Contractor 1,Priority Level,Program Manager,Program Type,Program Type 1,Recompete Date,Related Jobs,Security Requirements,Source Evidence,Technical Stack,Typical Roles
NASA SEWP,SEWP,NASA,,,Public Trust → Secret,"Public Trust, Secret",Medium,,,,GWAC,,Nationwide,,“SEWP cited as GWAC example”,IT resellers & integrators,,,,,Ongoing,Ongoing,,,Multiple,Medium,,IT Ops,IT Ops,,,,Provided,,Hardware/software procurement; IT services; cloud
NASA Space Network Evolution,SENSE,NASA,,,Secret,Secret,High,$1.8B,,,Single Award,,NASA SCaN Global,,“Near-Earth comms; SENSE; TDRS”,All Points,,,,,2019–2028,2028,2019,,Peraton,High,,C5ISR,C5ISR,,,,Provided,,Satellite comm engineers; network technicians
NASA SUSE (indicative),SUSE,NASA,,,Public Trust,Public Trust,Low,,,,PROGRAM,,NASA,,“NASA SUSE”,,,,,,Multi-year,,,,,Low,,IT Ops,IT Ops,,,,Row text,,IT ops; system support
NASIC Radar Analysis Program,NASIC Radar,Air Force,,,TS,Top Secret,Medium,,,,Services,,Beavercreek OH,,“TS Radar Engineer – NASIC – Beavercreek OH”,,,,,,Multi-year,,,,Ball Aerospace,Medium,,Intel,Intel,,,,Provided,,Radar engineers; data analysts
NAVAIR Flight Operations Support,NAVAIR Flight Ops,Navy,,,Secret,Secret,Medium,,,,Services,,Pax River MD,,“NAVAIR Flight Ops – Pax River”,,,,,,Multi-year,,,,Vertex Aerospace,Medium,,IT Ops,IT Ops,,,,Provided,,Flight ops analysts; schedulers; IT support
Navy Aegis Combat System Modernization,AEGIS,Navy,,,Secret,Secret,Medium,,,,IDIQ,,Dahlgren VA; Moorestown NJ; shipyards,,“Aegis”; “Combat System”; “Modernization”,,,,,,Multi-year,,,,Lockheed Martin,Medium,,C5ISR,C5ISR,,,,Top DoD-program reference set,,Systems engineers; combat system SW devs; integration & test
Navy Enterprise Service Desk,NESD,Navy,,,Secret,Secret,Medium,$2.5B,,,,,Norfolk VA; San Diego CA; distributed Navy NOCs,,"“NESD, Navy Helpdesk, Enterprise IT”",Perspecta; SAIC,,,,,Multi-year,,,,Leidos,Medium,,IT Ops,IT Ops,,,,NESD job-posting context & NGEN-related notes,,Tier 1–3 service desk; Navy help desk; desktop support
Navy Marine Corps Intranet (legacy),NMCI,Navy,,,Secret (IT roles),Secret,Medium,,,,Services,,"Multiple Navy & USMC bases (Norfolk, San Diego, etc.)",,“NMCI”; “very large program”; “N Gen supporting NMCI”,TEKsystems; SB IT subs; others,,,,,Historical (pre-NGEN-R),,,,HP Enterprise (legacy prime – assumed),Medium,,IT Ops,IT Ops,,,,NMCI notes used as context for NGEN-R,,Network engineers; helpdesk; desktop support; field service techs
NETSS (Recompete),NETSS,DoD,,,Secret,Secret,Medium,,,,RECOMPETE,,,,“NETSS”,,,,,,Upcoming,,,,,Medium,,IT Ops,IT Ops,,,,Medium,,IT ops
Next Generation Interceptor,NGI,MDA,,,Secret / TS / SCI,"Secret, TS/SCI",High,$13B,,,R&D,,Huntsville AL; Promontory UT; test ranges,,“Interceptor Development”; “Missile Defense”,Raytheon; Aerojet Rocketdyne,,,,,2021–2035 (est.),2035,2021,,Northrop Grumman & Boeing,High,,R&D,R&D,,,,GBSD Notebook; NGI BD references,,MBSE; Propulsion/Flight Eng; Missile Systems Eng; GNC
Next-Gen Command & Control Prototype,NGC2,Army,,,Secret (likely),Secret,Medium,$100M,,,OTA,,CONUS (not specified),,“Anduril”; “C2 prototype”,,,,,,2025 (11-month),,2025,,Anduril Industries,Medium,,C5ISR,C5ISR,,,,Anduril OTA notes,,C2 engineers; integrators; rapid prototype team
NextGen GEO (Network/Ops),NGG,Space Force,,,Secret → TS/SCI preferred,"Secret, TS/SCI",High,,,,OPS & SUSTAINMENT,,Boulder CO,,"“OPIR, STIG, RMF; NextGen GEO ops”",,,,,,Multi-year,,,,Northrop Grumman,High,,C5ISR,C5ISR,,,,GEO Ops job description,,Network Eng; SysAdmin; Field Tech
Next-Gen GEO OPIR,NGG-OPIR,Space Force,,,TS/SCI,TS/SCI,Medium,Multi-$B,,,SPACE ACQUISITION PROGRAM,,Los Angeles; SSC Production,,“Missile warning sats”,Northrop (payloads),,,,,2018–Present,Ongoing,2018,,Lockheed Martin,Medium,,Space,Space,,,,Program references,,Space systems engineers; payload engineers
Next-Gen OPIR (Ground + Payload),Next-Gen OPIR,Space Force,,,TS/SCI,TS/SCI,Medium,Multi-$B,,,Production,,El Segundo CA; Colorado Springs CO,,"“Space C2, Missile Warning”",Multiple (needs-scrape),,,,,Multi-year,,,,Northrop Grumman,Medium,,C5ISR,C5ISR,,,,OPIR workforce analysis,,Payload SW/SE; Ground Ops; Data Exploitation
Next-Generation Overhead Persistent Infrared,NG OPIR (classified),Space Force,,,TS/SCI,TS/SCI,Medium,,,,CLASSIFIED SPACE PROGRAM,,SSC / Los Angeles; Colorado Springs,,“Classified satellite program; TS/SCI engineers”,,,,,,Multi-year,,,,Northrop Grumman,Medium,,Space,Space,,,,Provided notes,,Payload Eng; Ground Systems; Space Sensor Dev
NGA Enterprise Engineering,NEE,NGA,,,TS/SCI,TS/SCI,Medium,$824M,,,Single Award,,Springfield VA; St. Louis MO,,“NGA NEE $824M”,,,,,,2019–2025,2025,2019,,Peraton (Perspecta heritage),Medium,,Intel,Intel,,,,High,,Cloud engineers; enterprise architects; GEOINT IT
NGA Enterprise IT Modernization – MOJAVE / ACADIA,MOJAVE / ACADIA,NGA,,,TS/SCI + Poly,TS/SCI w/ Poly,Medium,$500M,,,ENTERPRISE IT / DATA,,Springfield VA; St. Louis MO,,“NGA MOJAVE & ACADIA… TS/SCI & poly”,,,,,,Multi-year,,,,CACI,Medium,,Intel,Intel,,,,Provided,,Cloud engineers; data pipeline; GEOINT analysts
NGEN (Legacy Reference),NGEN,Navy,,,Secret,Secret,Medium,$3B,,,IDIQ,,Quantico; Norfolk,,“Predecessor to NGEN-R”,,,,,,Completed / Recompeted,,,,HP; Leidos (legacy primes),Medium,,IT Ops,IT Ops,,,,Provided,,Service desk; network ops
NGEN-R — Enterprise Network Program,NGEN-R,Navy,,,Secret,Secret,High,$7.7B,,,IDIQ,,Norfolk; San Diego; global Navy/USMC,,“NMCI; Navy/USMC enterprise IT”,Apex Systems; Insight Global,,,,,~2019–2028,2028,2019,,Leidos,High,,IT Ops,IT Ops,,,,Provided,,Help desk; field tech; network admin
"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport)",NGEN-R SMIT,Navy,,,Public Trust → Secret (some TS),"Public Trust, Secret, Top Secret",High,$7.7B,,,IDIQ,,Norfolk VA; San Diego CA; Hawaii; global Navy/USMC bases (CONUS/OCONUS),,"“NMCI follow-on”; “enterprise network services for 400k+ users”; “heavy use of subcontracted staff (Apex, Insight Global) for help desks and field tech support”; “base-level IT roles at Cherry Point, Camp Lejeune, etc.”",Perspecta/Peraton; IBM; Verizon; Apex Systems; Insight Global,,,,,~2020–2028 (8–8.5 years),2028,2020,,Leidos,High,,IT Ops,IT Ops,,,,Consolidated from all NGEN-R SMIT rows in this batch,,Tier 1–2 help desk; desktop support; field technicians; network/sys admins; NetOps; cyber support
NGEN-R SMIT (Already normalized — link-only reference row),NGEN-R SMIT,Navy,,,Secret,Secret,High,$7.7B,,,IDIQ,,Navy/USMC worldwide,,(Already normalized master row),"Apex, Insight Global, Peraton, IBM, Verizon",,,,,2020–2028,2028,2020,,Leidos,High,,IT Ops,IT Ops,,,,Reference pointer,,Enterprise IT; help desk; NetOps; cyber
NGI – Next Generation Interceptor,NGI,MDA,,,Secret / TS / SCI,"Secret, TS/SCI",High,$13B,,,R&D,,Huntsville AL; Promontory UT; test ranges,,“Interceptor Development”; “Missile Defense”; “NGI MBSE and propulsion/flight engineers”; GBSD overlap,Raytheon; Aerojet Rocketdyne,,,,,~2021–2035 (est.),2035,2021,,Northrop Grumman / Boeing (team),High,,R&D,R&D,,,,NGI past-performance and notebook references,,MBSE leads; propulsion/flight engineers; guidance & control engineers; missile systems engineers
NGOPIR / NGG / NGOPIR (already normalized — link row),,Space Force,,,TS/SCI,TS/SCI,High,Multi-$B,,,Production,,SSC; Colorado Springs,,(See Batch 1),multiple,,,,,multi-year,,,,Northrop Grumman,High,,C5ISR,C5ISR,,,,reference pointer,,Space payloads; C2; missile-warning exploitation
NIH IAPD (indicative),IAPD,DoD,,,Public Trust,Public Trust,Medium,,,,PROGRAM,,NIH (Bethesda + remote),,“NIH program”; “IAPD”,,,,,,Multi-year,,,,,Medium,,Data,Data,,,,Row text,,Data/IT engineers; analysts; application support
NISC (indicative),NISC,DoD,,,Public Trust,Public Trust,Medium,,,,RECOMPETE,,,,“NISC”,,,,,,Upcoming,,,,,Medium,,IT Ops,IT Ops,,,,Row text,,IT ops; general IT support
NIWC Pacific (placeholder),NIWC PAC,Navy,,,Secret (likely),Secret,Low,,,,PROGRAM,,San Diego CA (NIWC Pac),,“NIWC PAC”,,,,,,Ongoing,Ongoing,,,,Low,,C5ISR,C5ISR,,,,Row (no extra detail),,C5ISR / IT engineers; RF / network roles
NORAD/NORTHCOM IT Infrastructure Support (NISSC II),NISSC II,Air Force,,,TS/SCI (some with poly),TS/SCI w/ Poly,High,$455M,,,Single Award,,Peterson SFB CO; Cheyenne Mountain CO; Offutt AFB NE; Vandenberg CA,,“High-security ops centers (Cheyenne Mountain)… 24/7 operations”; “limited big staffing-firm presence but some help-desk/sysadmin subcontracting”,NOVA-Diné (tribal SB); limited other subs (TS/SCI constrained),,,,,~2020–2026/27,2026,2020,,Jacobs,High,,C5ISR,C5ISR,,,,Consolidated from all NISSC II rows in this batch,,24×7 help desk; systems admins; ISSOs; network/security ops; missile-warning IT support
NRO Ground Systems DevOps (Seal Beach),,NRO,,,TS/SCI with poly,TS/SCI w/ Poly,Medium,,,,Services,,Seal Beach CA,,“NRO Ground Systems DevOps… TS/SCI w/ poly… Seal Beach”,,,,,,Multi-year,,,,Boeing,Medium,,Intel,Intel,,,,Row text,,DevOps engineers; CI/CD & infra automation for NRO ground systems
NSST (Navy),NSST,Navy,,,Secret,Secret,Medium,,,,PROGRAM,,Navy training commands,,“NSST”,,,,,,Multi-year,,,,,Medium,,C5ISR,C5ISR,,,,Row text,,Trainers; simulator/IT technicians
NTT Applications & BPS Support,,DoD,,,Public Trust / Secret,"Public Trust, Secret",Medium,,,,Services,,Texas; remote CONUS,,“NTT Data”; “Applications”; “BPS Tech Stack”,,,,,,Multi-year,,,,NTT DATA,Medium,,IT Ops,IT Ops,,,,NTT Tech Stack document,,Application engineers; business analysts; apps/BPS support
NTT DATA Enterprise Architecture (BPS / Apps),,DoD,,,Public Trust / Secret (varies),"Public Trust, Secret",Medium,,,,Services,,U.S. – Heredia CR; Atlanta GA; remote,,“Enterprise Architect”; “BPS”; “NTT DATA Digital”,,,,,,Active postings (2025),,2025,,NTT DATA,Medium,,Consulting,Consulting,,,,NTT BPS/Apps Tech-Stack docs,,"Enterprise architects; solution architects (BPS, applications)"
OASIS+ Multi-Agency Services,OASIS+,DoD,,,Public Trust → Secret/TS,"Public Trust, Secret, Top Secret",Medium,Multi-$B,,,GWAC,,Nationwide,,“OASIS+… multi-agency professional services”,Engineering + professional services SB teams,,,,,Multi-year,,,,Multi-award primes,Medium,,Professional Services,Professional Services,,,,GSA references,,Eng services; PM; acquisition; R&D; analysis
OASIS+ Services (Already normalized),OASIS+,DoD,,,Public Trust–TS,Public Trust,Medium,Multi-$B,,,GWAC,,Nationwide,,OASIS+,multiples,,,,,multi-year,,,,multiples,Medium,,Professional Services,Professional Services,,,,Pointer,,Eng/Prof services
OFAC Payment / Trade Ops Data System,OFAC PTODS,Treasury,,,Public Trust,Public Trust,Medium,,,,FEDERAL SYSTEM,,Washington DC,,“OFAC system”,,,,,,Multi-year,,,,,Medium,,Data,Data,,,,Row text,,Data engineers; financial systems IT
OFAC Payment/Trade Ops Data System (Already normalized),OFAC PTODS,Treasury,,,Public Trust,Public Trust,Medium,,,,SYSTEM,,DC,,OFAC,,,,,,Multi-year,,,,,Medium,,Data,Data,,,,Pointer,,Data engineering
One-T (Recompete),One-T,DoD,,,IT ops; sustainment,Secret,Medium,,,,RECOMPETE,,Secret,,IT Ops,,,,,,Upcoming,,,,,Medium,,Professional Services,Professional Services,,,,Medium,,“One-T Recompete list”
OUSD(A&S) Professional Support Services,OUSD(A&S) PSS,DoD,,,Secret / Public Trust,"Public Trust, Secret",Medium,$116.7M,,,Single Award,,Pentagon; Mark Center; Crystal City,,“LMI… $116.7M… admin & analytic support”,SB surge partners,,,,,2019–2024,2024,2019,,LMI,Medium,,Professional Services,Professional Services,,,,OUSD(A&S) description,,Admin assistants; analysts; PM support
OUSD(P&R) PRISM (Consolidated),PRISM,DoD,,,Public Trust–Secret,"Public Trust, Secret",High,$1.8B,,,IDIQ,,Pentagon / NCR / CONUS,,“PRISM IDIQ”; “surge staffing”,Many teaming partners,,,,,2024–2029,2029,2024,,"11 primes (CTC, SAIC, Booz Allen, ManTech…)",High,,Professional Services,Professional Services,,,,Consolidated from all PRISM rows,,Analysts; trainers; HR support; admin
PAC-3 (Consolidated),PAC-3,Army,,,Secret,Secret,High,Multi-$B,,,IDIQ,,Camden AR; Huntsville AL; Grand Prairie TX; WSMR,,“PAC-3”; “Patriot”; “interceptor”,Raytheon; Boeing; Aerojet Rocketdyne,,,,,Ongoing,Ongoing,,,Lockheed Martin,High,,Weapon Systems,Weapon Systems,,,,Consolidated from all PAC-3 rows,,Missile engineering; assembly; test; RF engineering
PAC-3 Missile Family (Consolidated),PAC-3 / PAC-3 MSE,Army,,,Secret → TS/SCI,"Secret, TS/SCI",High,$10B,,,IDIQ,,Grand Prairie TX; Camden AR; Huntsville AL; WSMR; Orlando FL,,"“Patriot / Interceptor / Record Production Year”; “1,970+ MSE deliveries”; “FMS WISŁA IBCS links”",Raytheon; Boeing; L3Harris; Aerojet Rocketdyne,,,,,2018–2030+,2030,2018,,Lockheed Martin Missiles & Fire Control,High,,C5ISR,C5ISR,,,,Lockheed PAC-3 MSE Intelligence Reports,,Missile engineers; QA inspectors; assembly techs; RF/test eng; production planners; field service
PAC-3 Missile Segment Enhancement (Deep Detail Variant),PAC-3 MSE,Army,,,Secret → TS/SCI,"Secret, TS/SCI",High,$9.8B,,,IDIQ,,Camden AR; Grand Prairie TX; Huntsville AL,,"“PAC-3 MSE record production, >500 missiles/yr”",Boeing RF Seeker; L3H/Aerojet dual-pulse motor,,,,,FY24–FY30,,,,Lockheed Martin,High,,Weapon Systems,Weapon Systems,,,,HUMINT & BD Files,,Manufacturing; missile eng; test; RF engineers; quality
PAC-3 MSE (Deep Detail Variant; Consolidated),PAC-3 MSE,Army,,,Secret–TS/SCI,"Secret, TS/SCI",High,$9.8B,,,IDIQ,,Grand Prairie TX; Camden AR; Huntsville AL,,"“PAC-3 MSE… 1,970 missiles… record year”",Boeing; L3Harris; Aerojet Rocketdyne,,,,,2024–2031+,2031,2024,,Lockheed Martin,High,,Weapon Systems,Weapon Systems,,,,HUMINT and BD data,,QA inspectors; assembly; missile test; systems engineers; production planners; RF testers
Peraton ARCYBER Information Advantage Enterprise,IAE,Army,,,TS/SCI (+ poly for IO),TS/SCI w/ Poly,High,$889M,,,Services,,Fort Eisenhower GA; Fort Meade MD,,“Peraton Awarded $889M… ARCYBER… Cyber Mission Partners”,,,,,,2024–2029,2029,2024,,Peraton,High,,Cyber,Cyber,,,,Program listing,,Cyber ops planners; IO/EW; mission support
Peraton NARSIL – Advanced System Intelligence,NARSIL,IC,,,TS/SCI + Poly,TS/SCI w/ Poly,High,$1B,,,IDIQ,,Reston VA; Fort Meade MD,,“High-value IC IDIQ; automation; IC cyber/data fusion”,,,,,,2023–2028,2028,2023,,Peraton,High,,Cyber,Cyber,,,,NARSIL references,,Systems Eng; DevOps; Cyber Ops; ML/AI; Signals Processing
POD ARCYBER (Army Cyber Ops),POD ARCYBER,Army,,,TS/SCI,TS/SCI,Medium,,,,PROGRAM,,Fort Gordon GA,,“ARCYBER”,,,,,,Multi-year,,,,,Medium,,Cyber,Cyber,,,,Row text,,Cyber ops; IO
Poland WISŁA – Patriot + IBCS Foreign Military Sales,WISŁA,Army,,,NATO Secret / Secret,Secret,High,$4.8B,,,FMS,,Poland; Huntsville AL labs,,“WISŁA… IBCS portion ~$900M… Patriot batteries”,Polish PGZ; U.S. integrators,,,,,2018–2026+,2026,2018,,Raytheon & Northrop Grumman,High,,C5ISR,C5ISR,,,,BD documents,,Fielding; integration; training; IBCS engineering
PRISM Support Services (Consolidated),PRISM,DoD,,,Public Trust → Secret,"Public Trust, Secret",High,$1.8B,,,IDIQ,,Pentagon; NCR; CONUS,,“PRISM IDIQ… admin & analyst roles… surge staffing via teams”,Numerous teaming partners,,,,,2024–2029,2029,2024,,"11 MA-IDIQ primes (incl. CTC, SAIC, Booz Allen, ManTech)",High,,IT Ops,IT Ops,,,,Program references,,Admin; Program Analysts; Training; HR; data analysts
Project Convergence (JADC2 Experiments),PC,Army,,,Secret,Secret,Medium,,,,EVENT-BASED EXPERIMENTATION,,Yuma Proving Ground; Austin TX; labs,,“SAIC… autonomy software engineers & data analysts”,Multiple (needs-scrape),,,,,2020–Present,Ongoing,2020,,SAIC,Medium,,C5ISR,C5ISR,,,,BD notes,,Autonomy SW; AI/ML analysts; JADC2 integration staff
Protected Satcom & Tactical Waveform Communications,PTW / Protected TWF,Space Force,,,Secret+,Secret,Medium,,,,SPACE ACQUISITION,,Colorado Springs (indicative),,“Protected Tactical Waveform”,,,,,,Multi-year,,,,L3Harris,Medium,,Space,Space,,,,SATCOM references,,RF Engineers; Crypto; SATCOM SMEs
Protected Tactical SatCom / Waveform,PTW,Space Force,,,Secret+,Secret,Medium,,,,SPACE ACQUISITION,,CO (indicative),,“Protected Tactical Waveform”,,,,,,Multi-year,,,,L3Harris,Medium,,Space,Space,,,,L3Harris SATCOM references,,RF engineers; crypto; SATCOM specialists
REACT (indicative),REACT,DoD,,,Cyber/IT staff,Secret,Medium,,,,PROGRAM,,Secret,,Cyber,,,,,,Multi-year,,,,,Medium,,Professional Services,Professional Services,,,,Low,,“REACT”
RUSHMORE,RUSHMORE,Space Force,,,TS/SCI,TS/SCI,High,,,,SOFTWARE ENGINEERING PROGRAM,,Aurora CO (Buckley SFB),,“Apex posting for NGC RUSHMORE team”,Apex Systems (staffing),,,,,Multi-year,,,,Northrop Grumman,High,,Space,Space,,,,Apex & NGC job postings,,Principal Java SW Engineer; C2/SATOPS SW
RUSHMORE (Already normalized),RUSHMORE,Space Force,,,TS/SCI,TS/SCI,High,,,,PROGRAM,,Aurora CO,,RUSHMORE,Apex,,,,,multi-year,,,,Northrop,High,,Space,Space,,,,pointer,,SW engineering
SCITLS,SCITLS,DoD,,,Secret,Secret,Medium,,,,AWARD / LOGISTICS-IT,,CONUS,,“SCITLS”,,,,,,Multi-year,,,,GDIT,Medium,,Logistics,Logistics,,,,Provided,,Logistics IT technicians
SCITLS (Already normalized),SCITLS,DoD,,,Logistics/IT,Secret,Medium,,,,PROGRAM,,Secret,,Logistics/IT,,,,,,multi-year,,,,GDIT,Medium,,Professional Services,Professional Services,,,,Medium,,SCITLS
SCORPION (classified),SCORPION,DoD,,,TS/SCI (likely),TS/SCI,Medium,,,,CLASSIFIED PROGRAM,,,,“Listed in classified-support context”,,,,,,Multi-year,,,,CACI (context only),Medium,,Cyber,Cyber,,,,Low,,Intel/Cyber
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,,,TS/SCI,TS/SCI,Medium,,,,MULTI-CONTRACT (TRANSPORT + TRACKING LAYER),,SDA Ops Center (likely),,“Transport Layer / Tracking Layer primes”; “Peraton ground support suspected”,Peraton (suspected ground/ops sub),,,,,~2020–2023 (demo tranche),2023,2020,,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",Medium,,C5ISR,C5ISR,,,,Provided references,,Satellite operators; network engineers; ground-system integrators
SeaPort Next Generation,SeaPort-NxG,Navy,,,Secret (for many tasks),Secret,Medium,,,,IDIQ,,Navy worldwide,,“SeaPort-NxG MAC”,Many engineering & IT subs,,,,,—,,,,1023+ primes,Medium,,C5ISR,C5ISR,,,,—,,Systems engineering; logistics; SW; cyber
Sentinel / GBSD,GBSD,Air Force,,,Secret; TS; TS/SCI; SAP,"Secret, TS/SCI",High,,,,ICBM MODERNIZATION CONTRACT,,Roy UT; Hill AFB; Ogden UT; SLC UT; CO Springs; Huntsville AL; Vandenberg; Redondo Beach CA; Brigham City UT,,Sentinel; LGM-35A; GBSD,Bechtel; Aerojet; Lockheed,,,,,2020–2036+,2036,2020,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“Sentinel Execution Strategy Guide – PTS”,,Systems Eng Mgr; Cyber Eng; C2 SW Dev; Missile Propulsion; Depot Planners; Nuclear Surety
Sentinel / GBSD,GBSD,Air Force,,,TS/SCI; SAP,TS/SCI,High,$13B,,,Production,,Hill AFB; Roy UT; Ogden UT,,Sentinel; Minuteman III; ICBM,Insight Global; Apex; TEKsystems,,,,,2020–2036,2036,2020,,Northrop Grumman,High,,C5ISR,C5ISR,,,,“GBSD Strategy… Roy UT… TS/SCI…”,,Systems Eng; ILS Lead; Missile Integration SME
Sentinel GBSD,GBSD,Air Force,,,Secret / TS,"Secret, Top Secret",High,$13.3B,,,OTA,,Ogden; Roy; Hill AFB,,ICBM; Utah; C2; T&E,SAIC; Insight Global; Apex,,,,,2020–2036+,2036,2020,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“GBSD BD Strategy.pdf…”,,Systems Eng; Cyber; Test; SW
Sentinel GBSD,GBSD,Air Force,,,Secret–TS/SCI,"Secret, TS/SCI",High,,,,Production,,Roy; Hill AFB; Ogden; Redondo Beach; CO Springs; Huntsville; El Segundo; Promontory; Elkton,,Sentinel; LGM-35A; Digital Engineering; Strategic Deterrent,Aerojet; Textron; LMT; Bechtel; Clark; GD; Honeywell; L3Harris; CAE; Kratos; HDT,,,,,—,,,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“Sentinel GBSD… Strategic Systems”,,MBSE; SE&I; cyber; embedded SW; test; propulsion; logistics; supply chain; EVMS/CAM; QA; modeling
Sentinel GBSD,GBSD / Sentinel,Air Force,,,Secret–TS/SCI,"Secret, TS/SCI",High,$13.3B,,,EMD/PROD,,Roy; Hill; Ogden; Promontory; CO Springs,,Minuteman III replacement,Insight Global; Apex; TEKsystems; Prime TS,,,,,2020–2039,2039,2020,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“Sentinel HQ + sustainment at Hill/Roy/Ogden”,,Systems Eng; SW; MBSE; Cyber
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,,,Secret; TS,"Secret, Top Secret",High,$13.3B,,,EMD,,Roy; Huntsville; Ogden; Hill AFB,,ICBM modernization,Insight Global; Apex; TEKsystems; Belcan,,,,,2020–2039,2039,2020,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“Proposed Architecture for Prime TS BD Intelligence Automation”,,Systems Eng; SW Eng; Test Eng; PM
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,,,Secret / TS / SCI,"Secret, TS/SCI",High,,,,Production,,Roy; Hill; Ogden; Redondo Beach; El Segundo; CO Springs; Huntsville; Promontory; Elkton,,LGM-35A; ICBM; RMF; Digital Engineering,Bechtel; Aerojet; LMT; GD; Honeywell; L3Harris; CAE; Kratos; HDT,,,,,—,,,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“Tier-1 subcontractors… key locations…”,,MBSE; Systems Eng; Cyber ISSO/ISSM; C2 SW; Test; Supply Chain; Logistics/ILS; Propulsion
Sentinel ICBM / GBSD,GBSD,Air Force,,,TS/SCI,TS/SCI,High,$85B,,,IDIQ,,Ogden; Hill; Promontory; Remote,,Nuclear Command; ATO; Mission Critical,Apex; Insight Global; Prime TS,,,,,—,,,,Northrop Grumman,High,,Weapon Systems,Weapon Systems,,,,“We’re confident… support for Sentinel”,,Network Eng; Cyber; SW; Sustainment
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,,,TS/SCI + SAP,TS/SCI,High,,,,,,Ogden; Hill AFB,,“Cybersecurity; RMF; Sentinel ATO; Cross Domain; Zero Trust”,Parsons; BAE Systems,,,,,needs-scrape,,,,Northrop Grumman,High,,Cyber,Cyber,,,,—,,Cybersecurity Engineers; ISSOs; RMF
SIPRAFT (indicative),SIPRAFT,DoD,,,IT operators; sysadmins,Secret,Medium,,,,PROGRAM,,Secret,,IT Ops,,,,,,Multi-year,,,,,Medium,,Professional Services,Professional Services,,,,Low,,“SIPRAFT”
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,,,TS/SCI,TS/SCI,High,$2.8B,,,IDIQ,,MacDill AFB; Component Commands; OCONUS deployment,,“Thousands of positions across SOCOM; cleared surge support”,Iron Bow; Iron EagleX; multiple SB subs,,,,,8 years,,,,Peraton,High,,C5ISR,C5ISR,,,,SOCOM SITEC III BD references,,IT support; deployable techs; field comms; cyber/SOCs
SLCD / SSLF (indicative),SLCD / SSLF,Army,,,IT sustainment technicians,Secret,Medium,,,,Services,,Secret,,IT Ops,,,,,,Upcoming,,,,SAIC (context),Medium,,Professional Services,Professional Services,,,,Medium,,“SLCD/SSLF”
SOCOM Digital Applications Data Science Support,—,CIA,,,TS/SCI,TS/SCI,High,,,,IDIQ,,Tampa FL (MacDill AFB),,“$30M SOCOM… data scientists and data integration specialists”,"Subcontractors for AI/ML, cloud, data integration (needs-scrape)",,,,,—,,,,Iron Eagle X (now GDIT),High,,Cyber,Cyber,,,,—,,Data scientists; data integrators; cloud/DevOps; AI/ML engineers
SOCOM Enterprise IT Support,—,SOCOM,,,TS/SCI,TS/SCI,Medium,,,,,,Tampa FL; Remote,,“SOCOM… LVC exercises… cyber…”,CACI; Jacobs,,,,,needs-scrape,,,,GDIT,Medium,,Cyber,Cyber,,,,—,,Cyber; Network Ops; LVC Trainer
SOCOM Software Solutions IDIQ,—,SOCOM,,,TS/SCI,TS/SCI,High,,,,IDIQ,,Tampa FL + SOF sites,,“$430M SOCOM software support IDIQ”,Multiple SW & AI subs,,,,,~10 years,,,,Iron Eagle X (now GDIT),High,,Cyber,Cyber,,,,—,,Software dev; cloud; DevSecOps; AI/ML; cyber
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,,,TS/SCI,TS/SCI,Medium,,,,Services,,LA / Colorado,,“Space payload / cyber”,—,,,,,—,,,,SAIC / LinQuest (indicative),Medium,,Cyber,Cyber,,,,—,,Payload / cyber engineers
SSA IT Support Services Contract,ITSSC,CIA,,,Public Trust,Public Trust,Medium,,,,Services,,SSA HQ,,“SSA IT”,—,,,,,—,,,,Leidos / Accenture Federal (indicative),Medium,,IT Ops,IT Ops,,,,—,,"Service desk, ops"
SSDS CSEA,SSDS CSEA,Navy,,,Secret,Secret,Medium,,,,PROGRAM,,NAVSEA,,Ship SD systems,—,,,,,Ongoing,Ongoing,,,—,Medium,,C5ISR,C5ISR,,,,—,,Systems engineering
