budget_program_name,budget_amount,fiscal_year,budget_type
Budget and Program Assessments,4083000.0,2014,R-1
PAC-3/MSE MISSILE,68843000.0,2014,R-1
"Chemical, Smoke and Equipment Defeating Technology",4490000.0,2014,R-1
Information Operations Technology Integration & Tool Development,23184000.0,2014,R-1
ICBM Fuze Modernization,129411000.0,2014,R-1
Electronic Warfare Development,10806000.0,2014,R-1
Light Attack Armed Reconnaissance (LAAR) Squadrons,11021000.0,2014,R-1
Space and Missile Center (SMC) Civilian Workforce,192348000.0,2014,R-1
Combat Rescue - Pararescue,542000.0,2014,R-1
SLAMRAAM,1529000.0,2014,R-1
High Energy Laser Research,40217000.0,2014,R-1
"Readiness Training Ranges, Operations and Maintenance",310000.0,2014,R-1
"Ballistic Missile Defense Command and Control, Battle Management & Communication",418355000.0,2014,R-1
Intelligence Engineering,1984000.0,2014,R-1
Small Diameter Bomb (SDB),46007000.0,2014,R-1
Precision Tracking Space System,297375000.0,2014,R-1
Consolidated Trng Sys Dev,45124000.0,2014,R-1
Classified Program,97603000.0,2014,R-1
Management HQ - R&D,54175000.0,2014,R-1
Systems Engineering,44237000.0,2014,R-1
NATO Research and Deve,7509000.0,2014,R-1
JSPOC Mission System,58523000.0,2014,R-1
Space Test Program (STP),13000000.0,2014,R-1
Advanced Communications Systems,20715000.0,2014,R-1
Planning and Decision Aid System (PDAS),3061000.0,2014,R-1
Biometrics Enterprise,44155000.0,2014,R-1
Sea Based X-Band Radar (SBX),44478000.0,2014,R-1
Department of Defense Corrosion Policy and Oversight,3312000.0,2014,R-1
MILSATCOM Terminals,140170000.0,2014,R-1
Battle Mgmt Com & Ctrl Sensor Development,114417000.0,2014,R-1
Long Range Standoff Weapon,5000000.0,2014,R-1
BALLISTICS TECHNOLOGY,68300000.0,2014,R-1
Assessments & Evaluations,2127000.0,2014,R-1
Defense Joint Counterintelligence Activities,330000.0,2014,R-1
NATO Research and Development,4568000.0,2014,R-1
Major T&E Investment,38033000.0,2014,R-1
RDT&E Ship & Aircraft Support,141778000.0,2014,R-1
AF Offensive Cyberspace Operations,14047000.0,2014,R-1
Multi-Platform Electronic Warfare Equipment,49848000.0,2014,R-1
Power Proj Applied Research,104513000.0,2014,R-1
Logistics and Engineer Equipment - Adv Dev,11556000.0,2014,R-1
NIGHT VISION ADVANCED TECHNOLOGY,36407000.0,2014,R-1
(U)CHALK CORAL,144951000.0,2014,R-1
FCS Unmanned Ground Vehicles,34845000.0,2014,R-1
Amphibious Tactical Supt Units,7240000.0,2014,R-1
Missile and Rocket Advanced Technology,64009000.0,2014,R-1
JT Military Intel Programs,4804000.0,2014,R-1
ADVANCED WEAPONS TECHNOLOGY,26162000.0,2014,R-1
Night Vision Systems Advanced Development,9066000.0,2014,R-1
Teleport Program,5147000.0,2014,R-1
RADAR DEVELOPMENT,1549000.0,2014,R-1
"Armed, Deployable Helos",73309000.0,2014,R-1
WARFIGHTER INFORMATION NETWORK-TACTICAL - DEM/VAL,272384000.0,2014,R-1
Aircraft Engine Component Improvement Program,315000.0,2014,R-1
Policy R&D Programs,3210000.0,2014,R-1
Humanitarian De-mining,11704000.0,2014,R-1
Defense Info. Infrastructure Engineering and Integration,12867000.0,2014,R-1
KC-46,1558590000.0,2014,R-1
AEGIS SM-3 Block IIA Co-Development,308522000.0,2014,R-1
Agile Combat Support,17036000.0,2014,R-1
Ballistic Missile Defense Midcourse Defense Segment,1033903000.0,2014,R-1
Advanced IT Services Joint Program Office (AITS-JPO),29138000.0,2014,R-1
Joint Munitions Advanced Technology,26646000.0,2014,R-1
Industrial Preparedness,50933000.0,2014,R-1
Maui Space Surveillance System (MSSS),26299000.0,2014,R-1
JOINT SERVICE SMALL ARMS PROGRAM,5030000.0,2014,R-1
Distributed Learning Advanced Technology Development (ADL),12116000.0,2014,R-1
Joint Tactical Information Distribution System (JTIDS),19475000.0,2014,R-1
JT Cntr Radio Controlled IED Elec War (JCREW),20874000.0,2014,R-1
Aerial Targets,21186000.0,2014,R-1
Tomahawk Mssn Planning Ctr,12407000.0,2014,R-1
(U)Distributed Common Ground/Surface Systems,5535000.0,2014,R-1
Countermine Systems,20574000.0,2014,R-1
Other Flight Training,1347000.0,2014,R-1
Integrated Surveillance System,41609000.0,2014,R-1
Modeling & Simulation Support,5116000.0,2014,R-1
"Personnel, Trng, Sim, & Human Factors",6233000.0,2014,R-1
Lightweight Torpedo Development,26444000.0,2014,R-1
Defense Exportability Program,3763000.0,2014,R-1
(U)Unman Carrier Launch A/B Surv & Strk(UCLASS)Sys,146683000.0,2014,R-1
Army Integrated Air and Missile Defense (AIAMD),364649000.0,2014,R-1
MEDICAL ADVANCED TECHNOLOGY,62032000.0,2014,R-1
Acoustic Search Sensors,30208000.0,2014,R-1
Studies & Analysis Supt - Navy,5566000.0,2014,R-1
Special Operations Tactical Systems Development,821000.0,2014,R-1
ARMY TEST RANGES AND FACILITIES,340659000.0,2014,R-1
Civilian Compensation Program,1577000.0,2014,R-1
Cyber,2328000.0,2014,R-1
Theater Battle Management (TBM) C4I,15009000.0,2014,R-1
Navy Energy Program,45618000.0,2014,R-1
Space Situation Awareness Systems,400258000.0,2014,R-1
TRACTOR CAGE,23841000.0,2014,R-1
Advanced Surface Machinery Sys,27154000.0,2014,R-1
INTEGRATED BASE DEFENSE,4476000.0,2014,R-1
DoD Enterprise Energy Information Management (EEIM),3302000.0,2014,R-1
IT Software Development Initiatives,607000.0,2014,R-1
High Energy Laser Research Initiatives,13286000.0,2014,R-1
MC Advanced Technology Demo,132400000.0,2014,R-1
Submunitions,2564000.0,2014,R-1
Data to Decisions Applied Research,13753000.0,2014,R-1
(U)Future Naval Capabilities Applied Research,169710000.0,2014,R-1
Cyber Security Initiative,2048000.0,2014,R-1
Electronic Warfare Development,154621000.0,2014,R-1
Cyber Advanced Technology Development,19668000.0,2014,R-1
Support to Information Operations Capability,8394000.0,2014,R-1
COGNITIVE COMPUTING SYSTEMS,16329999.999999998,2014,R-1
Intercontinental Ballistic Missile - EMD,145442000.0,2014,R-1
CH-53K,503180000.0,2014,R-1
Other Personnel Activities,65000.0,2014,R-1
Sustainment Science and Technology (S&T),12800000.0,2014,R-1
Strategic Aerospace Intelligence System Activities,14000.0,2014,R-1
Standards Development,99891000.0,2014,R-1
Weapons and Munitions - Eng Dev,15721000.0,2014,R-1
Coalition Warfare,9842000.0,2014,R-1
Joint Tactical Network Center (JTNC),68148000.0,2014,R-1
Full Combat Mission Training,4663000.0,2014,R-1
Advanced Remote Sensor Technology (ARST),58742000.0,2014,R-1
Small Business Innovation Research,346235000.0,2014,R-1
OUSD(C) IT Development Initiative,6788000.0,2014,R-1
(U)MARINE CORPS DATA SYSTEMS,35000.0,2014,R-1
Army Evaluation Center,65274000.0,2014,R-1
SSN-688 & Trident Modernization,89672000.0,2014,R-1
Air Force Studies and Analysis Agency,786000.0,2014,R-1
MACHINE INTELLIGENCE,49717000.0,2014,R-1
Aviation Improvements,88607000.0,2014,R-1
(U)Ground/Air Task Oriented Radar (G/ATOR),78208000.0,2014,R-1
BIOMEDICAL TECHNOLOGY,114790000.0,2014,R-1
CHEMICAL/BIOLOGICAL DEFENSE (OP SYS DEV),13026000.0,2014,R-1
Ship Self Def (Engage: Hard Kill),50209000.0,2014,R-1
(U)Marine Air Grnd Task Force(MAGTF)EW for Aviatio,10080000.0,2014,R-1
Service Support to STRATCOM - Space Activities,2799000.0,2014,R-1
SOF Information and Broadcast Systems Advanced Technology,4959000.0,2014,R-1
Thermal Vicar,8287000.000000001,2014,R-1
Next Generation Training & Simulation Systems,13627000.0,2014,R-1
C-17 Aircraft (IF),109134000.0,2014,R-1
Harpoon Modifications,699000.0,2014,R-1
SOF Operational Enhancements Intelligence,16021000.0,2014,R-1
"SOF Visual Augmentation, Lasers and Sensor Systems",4448000.0,2014,R-1
Common Data Link (CDL),40503000.0,2014,R-1
(U)AIRCRAFT SYSTEMS,74000.0,2014,R-1
Missile Defense Integration and Operations Center (MDIOC),52131000.0,2014,R-1
Joint Precision Approach and Landing Systems - Dem/Val,57975000.0,2014,R-1
Warfighting and Intelligence-Related Support,1699000.0,2014,R-1
Next Generation Aegis Missile (Standard Missile-3 Block IIB (SM-3 IIB)),224077000.0,2014,R-1
"R&D in Support of DOD Enlistment, Testing and Evaluation",6908000.0,2014,R-1
Tank and Medium Caliber Ammunition,30612000.0,2014,R-1
Soldier Systems - Warrior Dem/Val,48477000.0,2014,R-1
Navigation/Id System,51430000.0,2014,R-1
TRACTOR HIP,36293000.0,2014,R-1
Information Technology Development,68814000.0,2014,R-1
In-House Laboratory Independent Research,21803000.0,2014,R-1
Cancelled Account Adjustments,441000.0,2014,R-1
Anti-Tamper Technology Executive Agency,32086000.0,2014,R-1
TERRAIN INFORMATION - ENG DEV,1008000.0,2014,R-1
NATO Research and Development,3874000.0,2014,R-1
Information Technology Development,13812000.0,2014,R-1
Global Combat Support System,41225000.0,2014,R-1
RQ-11 UAV,102000.0,2014,R-1
Medium Range Maritime UAS,13237000.0,2014,R-1
Joint Tactical Radio,31826000.0,2014,R-1
Unmanned Aircraft Systems Common Development,8300000.000000001,2014,R-1
UAS Modifications/Product Improvement Program,2387000.0,2014,R-1
Regarding Trench,13864000.0,2014,R-1
"Munitions Standardization, Effectiveness and Safety",53340000.0,2014,R-1
WIDEBAND GLOBAL SATCOM (SPACE),13948000.0,2014,R-1
Global Theater Security Cooperation Management information Systems (G-TSCMIS),13250000.0,2014,R-1
NAVSTAR Global Positioning System (User Equipment) (SPACE),29621000.0,2014,R-1
Acquisition and Management Support,28647000.0,2014,R-1
Facilities Improvement,3019000.0,2014,R-1
Information Systems Security Program,9357000.0,2014,R-1
AIR TRAFFIC CONTROL,514000.0,2014,R-1
Other Helicopter Development,40558000.0,2014,R-1
CHEMICAL/BIOLOGICAL DEFENSE (RDT&E MGT SUPPORT),92046000.0,2014,R-1
(U)RETRACT ELM,56358000.0,2014,R-1
Initial Operational Test & Evaluation,13610000.0,2014,R-1
"Counterproliferation Initiatives - Proliferation, Prevention and Defeat",274033000.0,2014,R-1
Long-Haul Communications - DCS,36565000.0,2014,R-1
(U)SPECIAL PROCESSES,48842000.0,2014,R-1
WMD Defeat Technologies,175282000.0,2014,R-1
ALL SOURCE ANALYSIS SYSTEM,4839000.0,2014,R-1
Small Business Innovation Research,6964000.0,2014,R-1
B-52 SQUADRONS,24007000.0,2014,R-1
"Manpower, Personnel and Training Advanced Technology",7800000.0,2014,R-1
Cryptologic Direct Support,2703000.0,2014,R-1
Joint Light Tactical Vehicle - ED,84230000.0,2014,R-1
New Design SSN,121566000.0,2014,R-1
NAVSTAR Global Positioning System (User Equipment) (SPACE),137233000.0,2014,R-1
Nuclear and Conventional Physical Security/Countering Nuclear Threats,8154999.999999999,2014,R-1
Joint/Allied Coalition Information Sharing,6524000.0,2014,R-1
Software Engineering Institute (SEI),19008000.0,2014,R-1
RAND Project Air Force,32956000.000000004,2014,R-1
Tactical Command System,68463000.0,2014,R-1
Advanced EHF MILSATCOM (SPACE),272872000.0,2014,R-1
Undersea Warfare Advanced Tech,43729000.0,2014,R-1
Aerospace Vehicle Technologies,119672000.0,2014,R-1
Joint Experimentation,12667000.0,2014,R-1
Integrated Command & Control Applications (IC2A),10000.0,2014,R-1
MATERIALS TECHNOLOGY,26585000.0,2014,R-1
CHEMICAL/BIOLOGICAL DEFENSE (EMD),451306000.0,2014,R-1
JT Service Explosive Ordn Dev,38422000.0,2014,R-1
SOF Communications Equipment and Electronics Systems,2225000.0,2014,R-1
SOF Global Video Surveillance Activities,3304000.0,2014,R-1
Counterdrug RDT&E Projects,7354000.0,2014,R-1
Physical Security Equipment,50000.0,2014,R-1
Combat Service Support Control System Evaluation and Analysis,5054000.0,2014,R-1
Regional International Outreach (RIO) - Partnership for Peace Information Management System (PIMS),3270000.0,2014,R-1
Ship Contract Design/ Live Fire T&E,155254000.0,2014,R-1
Space Superiority Intelligence,12197000.0,2014,R-1
SSBN Security Tech Program,31768000.0,2014,R-1
Personnel Administration,5990000.0,2014,R-1
Defense Technology Analysis,8362000.0,2014,R-1
Space Control Technology,27024000.0,2014,R-1
Homeland Defense Technology Transfer Program,2338000.0,2014,R-1
Environmental Quality Technology Mgmt Support,5193000.0,2014,R-1
B-1B Squadrons,19589000.0,2014,R-1
Region/Sector Operation Control Center Modernization Program,1700000.0,2014,R-1
Joint Dual Role Air Dominance Missile,28871000.0,2014,R-1
Airborne Senior Leader C3 (SLC3S),1960000.0,2014,R-1
Strat War Planning System - USSTRATCOM,37448000.0,2014,R-1
SMALL BUSINESS INNOVATIVE RESEARCH,208324000.0,2014,R-1
MQ-1 Predator A UAV,3326000.0,2014,R-1
USD (A&T) Critical Technology Support,840000.0,2014,R-1
Special Operations Technology Development,29246000.0,2014,R-1
Marine Corps Grnd Cmbt/Supt Sys,1489000.0,2014,R-1
(U)CARRIER ONBOARD DELIVERY (COD) FOLLOW ON,2460000.0,2014,R-1
(U)LINK EVERGREEN,55378000.0,2014,R-1
Army Missle Defense Systems Integration,15301000.0,2014,R-1
DOD High Energy Laser Test Facility,18000.0,2014,R-1
Physical Security Equipment,3874000.0,2014,R-1
Rand Arroyo Center,11919000.0,2014,R-1
Cooperative Engagement,69312000.0,2014,R-1
Technical Information Services,637000.0,2014,R-1
Land Attack Tech,5075000.0,2014,R-1
National Military Command System-Wide Support,512000.0,2014,R-1
"Air Defense Command, Control and Intelligence - Eng Dev",18294000.0,2014,R-1
Intelligence Advanced Development,977000.0,2014,R-1
Navy Strategic Comms,21729000.0,2014,R-1
Airborne Maritime Fixed Small Airborne (AMF-SA),33219000.0,2014,R-1
Maritime Tech (MARITECH),4998000.0,2014,R-1
SO/LIC Advanced Development,19420000.0,2014,R-1
Surface & Shallow Water MCM,168040000.0,2014,R-1
Studies and Analysis Support - OSD,5871000.0,2014,R-1
Medical Materiel/Medical Biological Defense Equipment - Eng Dev,39468000.0,2014,R-1
BMD Enabling Programs,377605000.0,2014,R-1
ADVANCED TANK ARMAMENT SYSTEM (ATAS),49989000.0,2014,R-1
Depot Maintenance (NON-IF),28042000.0,2014,R-1
Joint Personnel Recovery Agency,1083000.0,2014,R-1
Intelligence Advanced Development,3983000.0,2014,R-1
Tactical Unmanned Aerial Vehicles,33533000.0,2014,R-1
Control and Reporting Center (CRC),7029000.0,2014,R-1
AIRCRAFT AVIONICS,76588000.0,2014,R-1
LPD-17 Class Systems Integration,1214000.0,2014,R-1
Small Business Innovative Research - MDA,89963000.0,2014,R-1
Joint Electronic Advanced Technology,9009000.0,2014,R-1
VH-71 Executive Helo Development,94238000.0,2014,R-1
Link Tangerine,1132180000.0,2014,R-1
SOF Weapons Systems,1511000.0,2014,R-1
Defense-Wide Electronic Procurement Capabilities,6184000.0,2014,R-1
Missile/Air Defense Product Improvement Program,1578000.0,2014,R-1
P-3 Modernization Program,1791000.0,2014,R-1
Air & Space Ops Center,58861000.0,2014,R-1
CONSTRUCTIVE SIMULATION SYSTEMS DEVELOPMENT,17013000.0,2014,R-1
TROJAN - RH12 - MIP,3465000.0,2014,R-1
Navy Science Assistance Progr,3450000.0,2014,R-1
Army Modeling & Sim X-Cmd Collaboration & Integ,1283000.0,2014,R-1
Landmine Warfare and Barrier Advanced Technology,22806000.0,2014,R-1
Multi-Mssn Helicopter Upgrade Dev,17565000.0,2014,R-1
LIGHT TACTICAL WHEELED VEHICLES,68442000.0,2014,R-1
Environmental Quality Technology - Dem/Val,2633000.0,2014,R-1
Ballistic Missile Defense Test & Targets,585838000.0,2014,R-1
Tractor rose,10667000.0,2014,R-1
Force Protection Applied Res,145307000.0,2014,R-1
E-2 Squadrons,1971000.0,2014,R-1
Ship Concept Advanced Design,20501000.0,2014,R-1
Nuclear Weapons Modernization,67874000.0,2014,R-1
Cyber Applied Research,18908000.0,2014,R-1
CYBER COMMAND ACTIVITIES,68099000.0,2014,R-1
Joint Robotics Program,10932000.0,2014,R-1
Advanced Innovative Technologies,130000000.0,2014,R-1
MLRS PRODUCT IMPROVEMENT PROGRAM,110576000.0,2014,R-1
Electronic Warfare Advanced Technology,40416000.0,2014,R-1
Aerostat Joint Project Office,98450000.0,2014,R-1
SOF Operational Enhancements,42620000.0,2014,R-1
Aviation Engineering Analysis,861000.0,2014,R-1
AF Defensive Cyberspace Operations,5853000.0,2014,R-1
CHEMICAL/BIOLOGICAL DEFENSE (ATD),170847000.0,2014,R-1
Airborne Mine Countermeasures (AMCM),117854000.0,2014,R-1
Small Business Innovative Research,5000.0,2014,R-1
RQ-7 Shadow UAV,12031000.0,2014,R-1
Long Range Strike,379437000.0,2014,R-1
Information Technology Rapid Acquisition,4146000.0,2014,R-1
TRACTOR JUTE,59000.0,2014,R-1
Medical Systems - Adv Dev,15603000.0,2014,R-1
High Performance Computing Modernization Program,180662000.0,2014,R-1
Aircraft Engine Component Improvement Program,139369000.0,2014,R-1
Tactical Command System - MIP,2140000.0,2014,R-1
Management Headquarters,3533000.0,2014,R-1
Special Program - MDA Technology,40426000.0,2014,R-1
Small Business Innovative Research (SBIR),2461000.0,2014,R-1
Distributed Common Ground/Surface Systems,5195000.0,2014,R-1
Joint Systems Integration,7402000.0,2014,R-1
Armament/Ordnance Development,16283999.999999998,2014,R-1
Joint Munitions Technology,20065000.0,2014,R-1
Logistics Automation,3717000.0,2014,R-1
University and Industry Research Centers,113662000.0,2014,R-1
Operational Test Activities and Analyses,62157000.0,2014,R-1
Advanced Hawkeye,152041000.0,2014,R-1
Industrial Base Analysis and Sustainment Support,14000000.0,2014,R-1
Ocean Engineering Tech Dev,9196000.0,2014,R-1
TACTICAL TECHNOLOGY,225977000.0,2014,R-1
Counterspace Systems,23930000.0,2014,R-1
A-10 Squadrons,9614000.0,2014,R-1
Major T&E Investment,34841000.0,2014,R-1
Wideband Global SATCOM RDT&E (Space),12027000.0,2014,R-1
COMPUTER AND SOFTWARE TECHNOLOGY,10439000.0,2014,R-1
(U)RETRACT MAPLE,308131000.0,2014,R-1
(U)LINK PLUMERIA,195189000.0,2014,R-1
Shipboard Aviation Systems,69615000.0,2014,R-1
C-130J Program,22443000.0,2014,R-1
Submarine Acoustic War Dev,1464000.0,2014,R-1
Environmental Quality Technology,20316000.0,2014,R-1
(U)MARINE CORPS COMBAT SERVICES SUPPORT,392000.0,2014,R-1
NATO AGS,264134000.0,2014,R-1
Data to Decisions Advanced Technology,13754000.0,2014,R-1
Aircraft Modifications/Product Improvement Programs,257187000.0,2014,R-1
Patriot/MEADS Combined Aggregate Program (CAP),400861000.0,2014,R-1
Integrated Broadcast Service,79000.0,2014,R-1
USAF Modeling and Simulation,10448000.0,2014,R-1
F-15E Squadrons,244289000.0,2014,R-1
National Integration To Tactical Systems (MIP),21143000.0,2014,R-1
Operational Energy Capability Improvement,52001000.0,2014,R-1
Joint Surveillance/Target Attack Radar System (JSTARS),13248000.0,2014,R-1
Tactical Aim Missiles,39159000.0,2014,R-1
Manned Reconnaissance Systems,13491000.0,2014,R-1
Pollution Prevention - Dem/Val,953000.0,2014,R-1
Networked Communications Capability,20000000.0,2014,R-1
CHEMICAL/BIOLOGICAL DEFENSE (ACD&P),196237000.0,2014,R-1
Joint Fires Integration and Interoperability Team,8965000.0,2014,R-1
Depot Maintenance (Non-IF),1605000.0,2014,R-1
Air Crew Systems Development,11401000.0,2014,R-1
Joint High Speed Vessel (JHSV),986000.0,2014,R-1
"Space Innovation, Integration and Rapid Technology Development",2469000.0,2014,R-1
B-2 SQUADRONS,100194000.0,2014,R-1
MISSILE TECHNOLOGY,51528000.0,2014,R-1
Human Effectiveness Applied Research,89483000.0,2014,R-1
Integrated Broadcast Service (IBS),8289000.0,2014,R-1
BASIC OPERATIONAL MEDICAL SCIENCE,49500000.0,2014,R-1
Retract Larch,19152000.0,2014,R-1
Weapons and Munitions Advanced Technology,63919000.0,2014,R-1
"Smoke, Obscurant and Target Defeating Sys-Adv Dev",2725000.0,2014,R-1
Small Business Innovation Research (SBIR)/Small Business Technology Transfer (STTR) Administration,1868000.0,2014,R-1
Polar MILSATCOM (SPACE),124805000.0,2014,R-1
Night Vision Systems - Eng Dev,43405000.0,2014,R-1
Fleet Tactical Development,46155000.0,2014,R-1
(U)ASE Self Protection Optimization,169000.0,2014,R-1
Ballistic Missile Defense Technology,309203000.0,2014,R-1
