acronym,program_name,piid,prime_contractor,total_contract_value,obligated,agency,department,clearance,city,state,locations,typical_roles,functional_areas,naics_code,naics_description,psc_code,pop_start,pop_end,bd_score,bd_status,contact_coverage,sub_count,staffing_firms_present,greenfield_type,discovery_strategy,data_sources
RESEARCH,"RESEARCH, DEVELOPMENT, TEST, AND EVALUATION OF MARITIME PATROL AND RECONNAISSANCE AIRCRAFT FOR NAVAL AIR SYSTEMS COMMAND AIRBORNE MULTI INTELLIGENCE SPECIAL MISSIONS PROGRAM OFFICE 290",FA807520F0083,MANTECH TSG-2 JOINT VENTURE,165086017,160250599.8,Department of the Air Force,Department of Defense,,CRANE,INDIANA,,,,541715,,AZ12,9/21/2020,3/31/2026,78,HOT TARGET,PRIME ONLY,382,,,S4_EXPIRING,DISCOVERY
DCCSS,DCCSS,HC102821F0049,"LEIDOS, INC.",155322955.9,150341331.6,Defense Information Systems Agency,Department of Defense,,FORT GEORGE G MEADE,MARYLAND,,,,541513,,DG01,3/14/2021,3/13/2026,78,HOT TARGET,DEEP,153,,,S1_BIG_FISH,DISCOVERY
AIR,AIR FORCE INTEGRATED PERSONNEL AND PAY SYSTEM,FA873418F0011,ACCENTURE FEDERAL SERVICES LLC,127145331,162734121.4,Department of the Air Force,Department of Defense,,ARLINGTON,VIRGINIA,,,,541511,,D318,5/3/2018,6/30/2026,78,HOT TARGET,PRIME ONLY,471,,,S4_EXPIRING,DISCOVERY
FLIGHT,FLIGHT TEST INSTRUMENTATION SUPPORT AND SERVICES,N0003018C0001,L3HARRIS INTERSTATE ELECTRONICS CORPORATION,3889769,242670403.1,Department of the Navy,Department of Defense,,ANAHEIM,CALIFORNIA,,,,541330,,H914,11/28/2017,6/30/2026,78,HOT TARGET,PRIME ONLY,127,,,S4_EXPIRING,DISCOVERY
PURPOSE,THE PURPOSE OF THIS MODIFICATION IS TO AWARD F-35A LRIP 15 USAF  AIRCRAFT* LONG LEAD FUNDING,N0001920C0009,LOCKHEED MARTIN CORPORATION,30369885397,30113035809,Department of the Navy,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1510,11/26/2019,12/31/2027,77,HOT TARGET,DEEP,19631,,,S4_EXPIRING,DISCOVERY
F-15,"F-15, FMS, F-15QA AIR VEHICLE DEVELOPMENT",FA863418C2701,THE BOEING COMPANY,8443763839,6967852048,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,1510,12/22/2017,8/31/2027,77,HOT TARGET,DEEP,3764,,,S4_EXPIRING,DISCOVERY
FY21-23,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,N0001921C0020,LOCKHEED MARTIN CORPORATION,8130462916,7953264131,Department of the Navy,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1510,12/31/2020,12/30/2027,77,HOT TARGET,DEEP,16031,,,S4_EXPIRING,DISCOVERY
CH-53K,CH-53K LRIP LOT 5/6 LONG LEAD ITEMS,N0001920C0047,SIKORSKY AIRCRAFT CORPORATION,2310726486,2309393186,Department of the Navy,Department of Defense,,STRATFORD,CONNECTICUT,,,,336411,,1520,3/26/2020,8/31/2027,77,HOT TARGET,PRIME ONLY,1053,,,S4_EXPIRING,DISCOVERY
QATAR,QATAR EARLY WARNING RADAR- CONSTRUCTION OF RADAR AND SUPPORT BUILDINGS,FA873017C0010,RAYTHEON COMPANY,1308172186,1293641358,Department of the Air Force,Department of Defense,,WOBURN,MASSACHUSETTS,,,,334511,,5840,2/24/2017,12/31/2027,77,HOT TARGET,PRIME ONLY,6242,,,S4_EXPIRING,DISCOVERY
KSA,KSA PHASE II,HQ085321C0002,LOCKHEED MARTIN CORPORATION,1261912110,1204688360,Missile Defense Agency,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336413,,1450,3/31/2021,12/31/2027,77,HOT TARGET,DEEP,1056,,,S4_EXPIRING,DISCOVERY
THAAD,"THAAD FMS KSA PHASE I LONG LEAD ITEMS, OBSOLESCENCE, TOOLING AND TEST EQUIPMENT, KEY PERSONNEL, LINE REQUALIFICATION ACTIVITIES, INITIAL TRAINING DEVELOPMENT, SYSTEM INTEGRATION LAB AND TESTBEDS, THREE-LEVEL MAINTENANCE CONCEPT, EXPORTABILITY, AND EARLY ENGINEERING DEVELOPMENT.REDESIGN",HQ014719C0007,LOCKHEED MARTIN CORPORATION,1090265947,1078362868,Missile Defense Agency,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336414,,H914,3/4/2019,8/31/2027,77,HOT TARGET,DEEP,1251,,,S4_EXPIRING,DISCOVERY
OPERATIONAL,OPERATIONAL PLANNING IMPLEMENTATION AND ASSESSMENT SERVICES (OPIAS) BASE AWARD.,47QFCA21F0058,PERATON INC.,979290295,781033454.6,Federal Acquisition Service,General Services Administration,,TAMPA,FLORIDA,,,,541330,,R701,7/6/2021,7/5/2026,77,HOT TARGET,PRIME ONLY,182,,,S4_EXPIRING,"DISCOVERY,MASTER"
AWARD,AWARD OF TASK ORDER 47QFCA210051-NAWCAD WOLF SHIP AND AIR C5ISR SYSTEMS SUPPORT,47QFCA21F0051,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",878554043,805003438.7,Federal Acquisition Service,General Services Administration,Secret,SAINT INIGOES,MARYLAND,,,Cybersecurity / IA; Data / Analytics; Engineering Services; Software Development,541330,,K058,7/1/2021,6/30/2026,77,HOT TARGET,DEEP,420,,WARM,S4_EXPIRING,"DISCOVERY,GREENFIELD"
PURPOSE,THE PURPOSE OF THIS ACTION IS TO AWARD THIS TASK ORDER FOR INTEGRATED MULTI-DOMAIN COMMAND AND CONTROL (IMDC2) TECHNICAL SUPPORT.,47QFCA20F0019,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,878224955,475496649.7,Federal Acquisition Service,General Services Administration,,WASHINGTON,DISTRICT OF COLUMBIA,,,,541330,,R499,9/18/2020,3/17/2026,77,HOT TARGET,PRIME ONLY,683,,,S4_EXPIRING,DISCOVERY
PURCHASE,PURCHASE OF HIMARS FOR FMS CUSTOMERS.,W31P4Q23C0006,LOCKHEED MARTIN CORPORATION,823321331.8,920534132,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336414,,1440,12/1/2022,6/30/2027,77,HOT TARGET,DEEP,1537,,,S4_EXPIRING,DISCOVERY
LOW,"THE LOW BOOM FLIGHT DEMONSTRATOR (LBFD) CONTRACT IS FOR THE DESIGN, CONSTRUCTION, AND FLIGHT VALIDATION OF A RESEARCH AIRCRAFT THAT CREATES A SHAPED SONIC BOOM SIGNATURE WITH A CALCULATED LOUDNESS LEVEL OF 75 PLDB [PERCEIVED LEVEL (PL), DECIBELS (DB)] OR LESS DURING SUPERSONIC CRUISE (MACH = 1.4) FLIGHT.",80AFRC18C0018,LOCKHEED MARTIN CORPORATION,519110078.5,518486416.2,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,PALMDALE,CALIFORNIA,,,,336411,,1510,4/2/2018,6/28/2026,77,HOT TARGET,DEEP,508,,,S4_EXPIRING,DISCOVERY
LOAN,"LOAN GUARANTY SERVICE(LGY)DEVELOPMENT, SECURITY AND OPERATIONS DEVSECOPS)",36C10B20F0172,ACCENTURE FEDERAL SERVICES LLC,458179320.6,341114477.9,Department of Veterans Affairs,Department of Veterans Affairs,,ARLINGTON,VIRGINIA,,,,541512,,D399,6/16/2020,4/17/2026,77,HOT TARGET,PRIME ONLY,626,,,S4_EXPIRING,DISCOVERY
ADVANCED,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE (AMRAAM) PRODUCTION LOT 31,FA867518C0003,RAYTHEON COMPANY,450894495,1298210353,Department of the Air Force,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,12/28/2017,10/1/2027,77,HOT TARGET,PRIME ONLY,1798,,,S4_EXPIRING,DISCOVERY
BLACK,BLACK HAWK MY X PRODUCTION AIRCRAFT.  FOREIGN MILITARY SALES.,W58RGZ22C0010,SIKORSKY AIRCRAFT CORPORATION,289114366.5,4266428233,Department of the Army,Department of Defense,,STRATFORD,CONNECTICUT,,,,336411,,1520,6/26/2022,12/31/2027,77,HOT TARGET,PRIME ONLY,1716,,,S4_EXPIRING,DISCOVERY
ADVANCED,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE (AMRAAM) PRODUCTION LOTS 28-30 FY14-16,FA867515C0022,RAYTHEON COMPANY,0.01,1769855396,Department of the Air Force,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,12/22/2014,12/30/2027,77,HOT TARGET,PRIME ONLY,2193,,,S4_EXPIRING,DISCOVERY
SM-3,SM-3 BLK IB ALL UP ROUNDS,HQ085120C0002,RAYTHEON COMPANY,-302103046,2146206310,Missile Defense Agency,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,3/27/2020,3/26/2027,77,HOT TARGET,PRIME ONLY,675,,,S4_EXPIRING,DISCOVERY
AEGIS,AEGIS F&S CONTRACT AWARD,N0002423C5123,LOCKHEED MARTIN CORPORATION,1663701297,955368963.1,Department of the Navy,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,334511,,1230,1/1/2023,12/31/2029,76,HOT TARGET,DEEP,568,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
THIS,"THIS TASK ORDER IS FOR AN ENTERPRISE-WIDE DIGITAL AND CUSTOMER CARE PLATFORMS AND SERVICES SOLUTION (ENTERPRISE-WIDE DIGITAL AND CUSTOMER CARE SOLUTION, AKA EWDCCPS, AKA DCC) THAT WILL ENABLE AN FSA-BRANDED OMNI-CHANNEL ENGAGEMENT APPROACH LED BY A MOBILE-FIRST, MOBILE-COMPLETE, AND MOBILE-CONTINUOUS DIGITAL PLATFORM SUPPORTING THE COMPLETE LIFECYCLE OF STUDENT FINANCING.",91003119F0003,ACCENTURE FEDERAL SERVICES LLC,1032055789,835628492.9,Department of Education,Department of Education,,ARLINGTON,VIRGINIA,,,,541512,,R415,2/20/2019,2/19/2027,76,HOT TARGET,PRIME ONLY,1685,,,S4_EXPIRING,"DISCOVERY,MASTER"
ENGINEERING,ENGINEERING DESIGN AND DEVELOPMENT (USN),N0002420C6117,LOCKHEED MARTIN CORPORATION,931600144.3,910240863.3,Department of the Navy,Department of Defense,,MANASSAS,VIRGINIA,,,,334511,,1287,7/17/2020,1/28/2032,76,HOT TARGET,DEEP,584,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
MDE,MDE IV SUPPORT FOR Q-53 RADARS,W56KGY22F0001,Lockheed Martin Corporation,112323168.8,112323168.8,Department of the Army,Department of Defense,,LIVERPOOL,NEW YORK,,,,334511,,5840,3/31/2022,1/24/2027,76,HOT TARGET,DEEP,41,ACTALENT,,S2_STAFFING_FIRM,DISCOVERY
F-15,F-15 EAGLE PASSIVE/ACTIVE WARNING & SURVIVABILITY SYSTEM (EPAWSS) LOW RATE ININITIAL PRODUCTION (LRIP),FA863421C2702,THE BOEING COMPANY,1191466733,911290873.5,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,5865,12/16/2020,12/31/2026,75,HOT TARGET,DEEP,248,,,S4_EXPIRING,DISCOVERY
AWARD,AWARD OF FMS LIFETIME SUPPORT CONTRACT FOLLOW-ON,N0002421C5119,LOCKHEED MARTIN CORPORATION,750928997.5,557914752.3,Department of the Navy,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,334511,,5840,12/30/2020,12/29/2026,75,HOT TARGET,DEEP,404,,,S4_EXPIRING,DISCOVERY
NGJ-MB,NGJ-MB LRIP III,N0001923C0037,RAYTHEON COMPANY,671330823.8,670500823.8,Department of the Navy,Department of Defense,,EL SEGUNDO,CALIFORNIA,,,,334511,,5841,4/1/2023,11/29/2026,75,HOT TARGET,PRIME ONLY,194,,,S4_EXPIRING,DISCOVERY
AFSOC,"AFSOC ACTS AWARD OF CONTRACT FOR CLS, ENGINEERING, INSTRUCTION, CYBERSECURITY, DMO",FA862118F6251,LOCKHEED MARTIN CORPORATION,629290009.3,603196868.2,Department of the Air Force,Department of Defense,,ORLANDO,FLORIDA,,,,336413,,J069,2/8/2018,1/31/2027,75,HOT TARGET,DEEP,477,,,S4_EXPIRING,DISCOVERY
MK48,MK48 MOD 7 G&C SECTION POM/FIRST ARTICLE,N0002416C6412,"LOCKHEED MARTIN SIPPICAN, INC.",536637528.7,489099894.2,Department of the Navy,Department of Defense,,MARION,MASSACHUSETTS,,,,334511,,1095,5/24/2016,9/30/2026,75,HOT TARGET,DEEP,822,,,S4_EXPIRING,DISCOVERY
ACAT,ACAT I F-15 AIRCRAFT ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) FOR THE INTEGRATED ELECTRONIC WARFARE SUITE A.K.A EAGLE PASSIVE ACTIVE WARNING SURVIVABILITY SYSTEM (EPAWSS),FA863417C2650,THE BOEING COMPANY,456735586,782544027.9,Department of the Air Force,Department of Defense,,SAINT LOUIS,MISSOURI,,,,336411,,5865,11/3/2016,12/31/2026,75,HOT TARGET,DEEP,386,,,S4_EXPIRING,DISCOVERY
MK54,MK54 LWT COMMON PARTS KITS,N0002416C6423,RAYTHEON COMPANY,439649099.8,380128003.3,Department of the Navy,Department of Defense,,PORTSMOUTH,RHODE ISLAND,,,,334511,,1095,8/25/2016,9/30/2026,75,HOT TARGET,PRIME ONLY,566,,,S4_EXPIRING,DISCOVERY
FRP16,FRP16 BLOCK V TACTOM AUR,N0001920C0030,RAYTHEON COMPANY,335444396.3,335444396.3,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1410,3/27/2020,9/30/2026,75,HOT TARGET,PRIME ONLY,633,,,S4_EXPIRING,DISCOVERY
ROYAL,ROYAL SAUDI AIRFORCE (RSAF) AIRBORNE WARNING AND CONTROL SYSTEM (AWACS) MODERNIZATION PROGRAM (RAMP) PHASE I,FA873018C0003,THE BOEING COMPANY,302294994,302294994,Department of the Air Force,Department of Defense,,OKLAHOMA CITY,OKLAHOMA,,,,336413,,1680,10/16/2017,3/26/2026,75,HOT TARGET,DEEP,124,,,S4_EXPIRING,DISCOVERY
RAM,RAM DESIGN AGENT,N0002418C5431,RAYTHEON COMPANY,301743277.7,246799078.7,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,541330,,K014,7/20/2018,12/31/2026,75,HOT TARGET,PRIME ONLY,145,,,S4_EXPIRING,DISCOVERY
FISCAL,"FISCAL YEAR 2017 THROUGH FISCAL YEAR 2021 U.S. NAVY, OTHER GOVERNMENT AGENCIES, AND FOREIGN MILITARY SALES, STANDARD MISSILE (SM) ENGINEERING AND TECHNICAL SERVICES. IGF::OT::IGF",N0002417C5410,RAYTHEON COMPANY,291869130,291869130,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,541330,,AC24,4/14/2017,12/31/2026,75,HOT TARGET,PRIME ONLY,467,,,S4_EXPIRING,DISCOVERY
TASK,TASK ORDER FOR ENGINEERING SERVICES TO SUPPORT THE PATRIOT WEAPON SYSTEM.,SPRBL123F0004,RAYTHEON COMPANY,291192509,622886793.5,Defense Logistics Agency,Department of Defense,,ANDOVER,MASSACHUSETTS,,,,334511,,J014,2/21/2023,12/31/2026,75,HOT TARGET,PRIME ONLY,144,,,S4_EXPIRING,DISCOVERY
MOD,MK 144 MOD 3 GUIDED MISSILE LAUNCHER,N0002421C5401,RAYTHEON COMPANY,283741529.5,282445946.7,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336414,,1440,12/22/2020,4/30/2026,75,HOT TARGET,PRIME ONLY,241,,,S4_EXPIRING,DISCOVERY
SILENT,SILENT KNIGHT RADAR SYSTEMS,H9240821C0001,RAYTHEON COMPANY,280109662.8,278221227.8,U.S. Special Operations Command,Department of Defense,,FOREST,MISSISSIPPI,,,,334511,,5841,12/1/2020,5/31/2026,75,HOT TARGET,PRIME ONLY,409,,,S4_EXPIRING,DISCOVERY
GSMO-II,GSMO-II NET ASSURANCE SUPPORT,HC102821F0082,"LEIDOS, INC.",279175124.3,262719571.5,Defense Information Systems Agency,Department of Defense,,CHAMBERSBURG,PENNSYLVANIA,,,,541513,,R799,3/14/2021,3/13/2026,75,HOT TARGET,DEEP,65,,,S4_EXPIRING,DISCOVERY
TRIDENT,TRIDENT II (D5) LIFE EXTENSION 2 (D5LE2) SSP ALTERATION (SPALT) ADVANCED DEVELOPMENT PROGRAM,N0003020C0101,Lockheed Martin Corporation,263589976,397990664.3,Department of the Navy,Department of Defense,,TITUSVILLE,FLORIDA,,,,541330,,AC23,1/31/2020,9/30/2026,75,HOT TARGET,DEEP,153,,,S4_EXPIRING,DISCOVERY
BARRACUDA,BARRACUDA DEVELOPMENT,N0002418C6300,RAYTHEON COMPANY,254737218,199964370,Department of the Navy,Department of Defense,,PORTSMOUTH,RHODE ISLAND,,,,334511,,1075,4/17/2018,4/18/2026,75,HOT TARGET,PRIME ONLY,170,,,S4_EXPIRING,DISCOVERY
THIS,"THIS TASK IS TO ANALYZE, INTEGRATE, MODIFY, PROCURE, AND DELIVER SOLUTIONS TO IMPROVE OPERATIONAL EFFECTIVENESS, ENHANCE PERFORMANCE FOR ENHANCED COYOTE BLOCK 2 AND COYOTE BLOCK 3 COUNTER UNMANNED AIRCRAFT SYSTEM SOLUTIONS.",HQ072723F1601,RAYTHEON COMPANY,253261774,253261774,Defense Microelectronics Activity,Department of Defense,,MCKINNEY,TEXAS,,,,541330,,AC13,4/13/2023,5/31/2026,75,HOT TARGET,PRIME ONLY,92,,,S4_EXPIRING,DISCOVERY
TB-37X,TB-37X FIRST PRODUCTION UNIT,N0002419C6120,Lockheed Martin Corporation,249785855.4,171621576.5,Department of the Navy,Department of Defense,,LIVERPOOL,NEW YORK,,,,334511,,5865,9/19/2019,7/28/2026,75,HOT TARGET,DEEP,133,,,S4_EXPIRING,DISCOVERY
DEPARTMENT,DEPARTMENT OF DEFENSE (DOD) JOINT REGIONAL SECURITY STACK (JRSS) PORTFOLIO MANAGEMENT OFFICE (PMO) REQUIREMENTS,HC102821F0253,"LEIDOS, INC.",225025405.8,219951572.3,Defense Information Systems Agency,Department of Defense,,FORT GEORGE G MEADE,MARYLAND,,,,541513,,DG01,5/29/2021,5/28/2026,75,HOT TARGET,DEEP,74,,,S4_EXPIRING,DISCOVERY
PURPOSE,THE PURPOSE OF THIS ACTION IS TO AWARD A FIVE (5) YEAR DEFINITIVE TASK ORDER UNDER THE GSA ALLIANT 2 GOVERNMENTWIDE ACQUISITION CONTRACT,W56KGU20F0017,"Leidos, Inc.",221125864,196138023.5,Department of the Army,Department of Defense,,RESTON,VIRGINIA,,,,541512,,D304,8/5/2020,9/30/2026,75,HOT TARGET,DEEP,263,,,S4_EXPIRING,DISCOVERY
SDA,"SDA TRACKING LAYER TRANCHE 0, WIDE FIELD OF VIEW (WFOV) PROGRAM",HQ085021C0002,"L3HARRIS TECHNOLOGIES, INC.",217931272,197697659.4,Space Development Agency,Department of Defense,,PALM BAY,FLORIDA,,,,541715,,AC23,10/2/2020,7/7/2026,75,HOT TARGET,PRIME ONLY,87,,,S4_EXPIRING,DISCOVERY
CNO,CNO AVAILABILITY FOR USS HALSEY FY24 DMP,N0002424C4423,BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.,214814484.2,215766854.3,Department of the Navy,Department of Defense,,SAN DIEGO,CALIFORNIA,,,,336611,,J999,6/8/2024,6/30/2026,75,HOT TARGET,DEEP,123,,,S4_EXPIRING,DISCOVERY
DRY,"DRY COMBAT SUBMERSIBLE CONTRACT AWARD, IGF::OT::IGF",H9222216C0096,LOCKHEED MARTIN CORPORATION,211126935.3,205976096.4,U.S. Special Operations Command,Department of Defense,,RIVIERA BEACH,FLORIDA,,,,336611,,AC31,7/13/2016,6/30/2026,75,HOT TARGET,DEEP,263,,,S4_EXPIRING,DISCOVERY
IDENTIFICATION,"IDENTIFICATION, ANALYSIS, RECOMMENDATIONS, AND DELIVERY OF MILITARY HEALTH SYSTEM AND JOINT STAFF MEDICAL CAPABILITIES FOR DEFENSE HEALTH AGENCY",FA807521F0021,BOOZ ALLEN HAMILTON INC,191965467.2,191965467.2,Department of the Air Force,Department of Defense,,FALLS CHURCH,VIRGINIA,,,,541715,,AC32,4/13/2021,4/18/2026,75,HOT TARGET,DEEP,65,,,S4_EXPIRING,DISCOVERY
MBRV,MBRV/RVSM -7C2/-8C2 DEVELOPMENT&PRODUCTION,HQ014718C0007,Lockheed Martin Corporation,191245285,166565256,Missile Defense Agency,Department of Defense,,HUNTSVILLE,ALABAMA,,,,541715,,1420,11/17/2017,1/31/2027,75,HOT TARGET,DEEP,256,,,S4_EXPIRING,DISCOVERY
ROK,GH ROK CLS-2V1,FA869023C1001,NORTHROP GRUMMAN SYSTEMS CORPORATION,177829154,171029154,Department of the Air Force,Department of Defense,,SAN DIEGO,CALIFORNIA,,,,541330,,J015,3/31/2026,3/31/2026,75,HOT TARGET,DEEP,51,,,S4_EXPIRING,DISCOVERY
PRE-OPERATIONAL,IGF::OT::IGF PRE-OPERATIONAL SUPPORT AND INTERIM CONTRACTOR SUPPORT,FA873017C0036,"LEIDOS, INC.",169254833.7,150015895.1,Department of the Air Force,Department of Defense,,RESTON,VIRGINIA,,,,334511,,J099,8/1/2017,4/30/2026,75,HOT TARGET,DEEP,114,,,S4_EXPIRING,DISCOVERY
,IGF::CT::IGF,HC102817F0643,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",132553832.9,124922871,Defense Information Systems Agency,Department of Defense,,,,,,,541330,,D316,8/15/2017,7/7/2026,75,HOT TARGET,DEEP,75,,,S1_BIG_FISH,DISCOVERY
CH-47,CH-47 AIRCRAFT,W58RGZ23F0120,THE BOEING COMPANY,71713393.29,520594871,Department of the Army,Department of Defense,,RIDLEY PARK,PENNSYLVANIA,,,,336411,,1520,12/23/2022,12/30/2026,75,HOT TARGET,DEEP,317,,,S4_EXPIRING,DISCOVERY
DUAL,DUAL CAPABLE AIRCRAFT UCA AWARD,N0001919C0010,LOCKHEED MARTIN CORPORATION,4329669753,4146736223,Department of the Navy,Department of Defense,,FORT WORTH,TEXAS,,,,336411,,1510,11/15/2018,12/31/2027,74,HOT TARGET,DEEP,630,,,S4_EXPIRING,DISCOVERY
ACAT,"ACAT I, AFLCMC/WLJK, PRESIDENTIAL AIRCRAFT RECAPITALIZATION",FA862516C6599,THE BOEING COMPANY,4082858913,3788900024,Department of the Air Force,Department of Defense,,TUKWILA,WASHINGTON,,,,336411,,1510,1/4/2016,8/31/2027,74,HOT TARGET,DEEP,746,,,S4_EXPIRING,DISCOVERY
CH-53K,CH-53K FRP LOT 7 LONG LEAD ITEMS,N0001922C0004,SIKORSKY AIRCRAFT CORPORATION,3422749299,3422749299,Department of the Navy,Department of Defense,,STRATFORD,CONNECTICUT,,,,336411,,1520,12/6/2021,12/31/2027,74,HOT TARGET,PRIME ONLY,746,,,S4_EXPIRING,DISCOVERY
BASELINE,BASELINE J7.B DEVELOPMENT LOE,HQ085121C0001,LOCKHEED MARTIN CORPORATION,1547029353,1352122834,Missile Defense Agency,Department of Defense,,MOORESTOWN,NEW JERSEY,,,,541715,,AC13,10/2/2020,11/30/2027,74,HOT TARGET,DEEP,188,,,S4_EXPIRING,DISCOVERY
GUIDED,GUIDED MISSILE ASSEMBLY AND PIO CEILING TRACKER CLINS AWARD,N0002421C5408,RAYTHEON COMPANY,1414538774,1394726380,Department of the Navy,Department of Defense,,TUCSON,ARIZONA,,,,336419,,1410,9/29/2021,9/30/2027,74,HOT TARGET,PRIME ONLY,874,,,S4_EXPIRING,DISCOVERY
FY23,FY23 TRIDENT PRODUCTION AND DEPLOYED SYSTEMS SUPPORT,N0003022C0100,Lockheed Martin Corporation,1189257283,1028083764,Department of the Navy,Department of Defense,,TITUSVILLE,FLORIDA,,,,336414,,1420,8/18/2022,9/30/2027,74,HOT TARGET,DEEP,842,,,S4_EXPIRING,DISCOVERY
SPECIAL,SPECIAL OPERATIONS FORCES EMERGING THREATS OPERATIONS AND PLANNING SUPPORT,47QFCA21F0087,"CACI NSS, LLC",1047522963,729021488.7,Federal Acquisition Service,General Services Administration,,FORT BRAGG,NORTH CAROLINA,,,Engineering Services,541330,,R499,9/30/2021,9/29/2026,74,HOT TARGET,DEEP,364,,WARM,S4_EXPIRING,"DISCOVERY,GREENFIELD"
BRADLEY,THE BRADLEY A4 FOLLOW-ON PRODUCTION EFFORT WILL DELIVER M2A4 AND M7A4 VEHICLES FROM VARIOUS INDUCTED LEGACY SOURCE VARIANTS BASED ON THE TDP DEVELOPED UNDER CONTRACT W56HZV-12-C-0358 BRADLEY A4 ECP AND THE TOP-LEVEL VEHICLE DRAWINGS.,W56HZV23F0395,BAE SYSTEMS LAND & ARMAMENTS L.P.,917593352.3,917588322.5,Department of the Army,Department of Defense,,YORK,PENNSYLVANIA,,,,336992,,2350,8/31/2023,2/28/2027,74,HOT TARGET,DEEP,636,,,S4_EXPIRING,DISCOVERY
DIMS,"THE PURPOSE OF THIS TASK ORDER AWARD IS TO OBLIGATE $25,500,000.00 TO THE CONSULAR AFFAIRS ENTERPRISE INFRASTRUCTURE OPERATIONS REQUIREMENT.",47QFCA20F0015,PERATON ENTERPRISE SOLUTIONS LLC,810580971,622661405.1,Federal Acquisition Service,General Services Administration,Public Trust,HERNDON,VIRGINIA,CMS,Cloud engineers; cloud ops,IT Operations,541512,Computer Systems Design Services,D399,12/18/2019,12/17/2026,74,HOT TARGET,PRIME ONLY,171,,,S4_EXPIRING,"DISCOVERY,MASTER,TANGO"
FEDERALLY,FEDERALLY FACILITATED EXCHANGE (FFE),75FCMC21F0002,ACCENTURE FEDERAL SERVICES LLC,798071716.3,787236926.4,Centers for Medicare and Medicaid Services,Department of Health and Human Services,,ARLINGTON,VIRGINIA,,,,541512,,DA01,7/11/2021,1/10/2027,74,HOT TARGET,PRIME ONLY,442,,,S4_EXPIRING,"DISCOVERY,MASTER"
PRECISION,PRECISION STRIKE MISSILE (PRSM) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD),W31P4Q21C0042,LOCKHEED MARTIN CORPORATION,753177669.5,665046533.7,Department of the Army,Department of Defense,,GRAND PRAIRIE,TEXAS,,,,336414,,AC13,4/29/2021,3/31/2027,74,HOT TARGET,DEEP,894,,,S4_EXPIRING,DISCOVERY
ECASS,ECASS CORE STATIONS,N6833518C0681,LOCKHEED MARTIN CORPORATION,713242458.3,712881808.3,Department of the Navy,Department of Defense,,ORLANDO,FLORIDA,,,,334519,,6625,7/31/2018,4/30/2027,74,HOT TARGET,DEEP,542,,,S4_EXPIRING,DISCOVERY
CUSTOMS,"U.S. CUSTOMS AND BORDER PROTECTION (CBP) OFFICE OF INFORMATION TECHNOLOGY, (OIT) TARGETING AND ANALYSIS SYSTEMS PROGRAM DIRECTORATE (TASPD)'S OPERATIONS AND MAINTENANCE (O&M), UPGRADES, UPDATES, MODIFICATIONS AND ENHANCEMENTS CONTRACT",70B04C20F00001359,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,701472173.6,594364416.9,U.S. Customs and Border Protection,Department of Homeland Security,,ALEXANDRIA,VIRGINIA,,,,541512,,D399,9/15/2021,9/14/2026,74,HOT TARGET,PRIME ONLY,231,,,S4_EXPIRING,DISCOVERY
BRADLEY,IGF::OT::IGF BRADLEY SYSTEM TECHNICAL SUPPORT AND SUSTAINMENT SYSTEM TECHNICAL SUPPORT,W56HZV15C0099,BAE SYSTEMS LAND & ARMAMENTS L.P.,625167838,633778735.5,Department of the Army,Department of Defense,,SAN JOSE,CALIFORNIA,,,,541330,,R425,7/9/2015,5/14/2027,74,HOT TARGET,DEEP,444,,,S4_EXPIRING,DISCOVERY
