Job Source,Job Number,Job Title,Job Location,Security Clearance,Matched Programs,Prime Contractors,Program Locations,Target Titles (Bullhorn),Search Keywords (ZoomInfo),LinkedIn Search,Match Score,Match Reasons
Insight Global,482139,SECRET LEAD F-16 SIMULATOR TECHNICIAN,"Sunset, Utah",Secret,Global Command and Control System – Joint; Intelligence Systems Infrastructure Tools & Enhancements; STRATCOM Mission Readiness Support,Northrop Grumman (assumed); Northrop Grumman,"ROY, UTAH","Director, VP, Senior Manager, Program Director","SECRET LEAD F-16 SIMULATOR TECHNICIAN, Secret, federal contractor","""Director"" AND (Northrop Grumman) AND (Sunset)",7,"Keywords: system, global; State: UT"
Insight Global,460481,TS/SCI - SENIOR SURVIVABILITY ENGINEER,"Huntsville, Alabama",TS/SCI,Aegis Ballistic Missile Defense / Aegis Program; DIA Information Systems Engineering Office; Information Technology Sustainment for Enhanced Ops,Lockheed Martin; Leidos,"FORT WORTH, TEXAS; FREDERICK, MARYLAND","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI - SENIOR SURVIVABILITY ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (Lockheed Martin OR Leidos) AND (Huntsville)",6,"Keywords: missile, program, defense"
Insight Global,483792,SECRET SOFTWARE ENGINEER,"Colorado Springs, Colorado",Top Secret,"EDIS – Engineering, Development, Integration & Sustainment; Engineering Development & Integration Support; Army Enterprise Service Management Framework",SAIC (via Engility); SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET SOFTWARE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC (via Engility) OR SAIC) AND (Colorado Springs)",14,"Keywords: engineering, integration, development; State: CO; City: COLORADO SPRINGS"
Insight Global,314201,CLEARED ELECTRONIC WARFARE ENGINEER,"Manchester, New Hampshire",Top Secret,"EDIS – Engineering, Development, Integration & Sustainment; DIA Information Systems Engineering Office; Engineering Development & Integration Support",SAIC (via Engility); SAIC; Leidos,"FREDERICK, MARYLAND; COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","CLEARED ELECTRONIC WARFARE ENGINEER, Top Secret, federal contractor","""Engineering Manager"" AND (SAIC OR Leidos) AND (Manchester)",8,"Keywords: engineering, integration, sustainment"
Insight Global,455231,CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS,"Lincoln, Massachusetts",Top Secret,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment; Air Force Advanced Battle Management System","Multiple: SAIC, Leidos, Booz Allen Hamilton; Raytheon; Leidos","ANDOVER, MASSACHUSETTS; HERNDON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Hiring Manager, Program Manager, Team Lead, Recruiter","CYBER SYSTEMS & NETWORK OPERATIONS SPECIALIST- TS, Top Secret, federal contractor","""Hiring Manager"" AND (Raytheon OR Leidos) AND (Lincoln)",10,"Keywords: integration, service, network"
Insight Global,462446,SECRET AMPHIBIOUS RAIDS INSTRUCTOR,"Jacksonville, North Carolina",Secret,GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET AMPHIBIOUS RAIDS INSTRUCTOR, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (Jacksonville)",7,"Keywords: service, global; State: CA"
Insight Global,479658,TS/SCI SENIOR DEVSECOPS ENGINEER,"Hanahan, South Carolina",TS/SCI,GBS (Global Broadcast Service); Global Broadcast Service; CMS Enterprise Cloud Infrastructure Services,L3Harris; L3Harris (historical); Peraton / SAIC (indicative),"HERNDON, VIRGINIA; ANAHEIM, CALIFORNIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI SENIOR DEVSECOPS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (L3Harris OR L3Harris (historical)) AND (Hanahan)",7,"Keywords: service, global; State: CA"
Insight Global,449101,CBP GCP PLATFORM ENGINEER (MID-LEVEL),"Broad Run, Virginia",Top Secret,CMS Enterprise Cloud Infrastructure Services; Air Force Advanced Battle Management System; Battlefield Information Collection & Exploitation System,"Multiple: SAIC, Leidos, Booz Allen Hamilton; GDIT; Peraton / SAIC (indicative)","HERNDON, VIRGINIA; SPRINGFIELD, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","CBP GCP PLATFORM ENGINEER (MID-LEVEL), Top Secret, federal contractor","""Engineering Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Peraton / SAIC (indicative)) AND (Broad Run)",9,"Keywords: infrastructure, cloud, services; State: VA"
Insight Global,437999,TS/SCI - GCCS SYSTEMS ENGINEER,"Colorado Springs, Colorado",TS/SCI,"EDIS – Engineering, Development, Integration & Sustainment; Protected Satcom & Tactical Waveform Communications; Protected Tactical SatCom / Waveform",L3Harris; SAIC,"COLORADO SPRINGS, COLORADO","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TS/SCI - GCCS SYSTEMS ENGINEER, TS/SCI, federal contractor","""Engineering Manager"" AND (L3Harris OR SAIC) AND (Colorado Springs)",12,"Keywords: sustainment, development; State: CO; City: COLORADO SPRINGS"
Insight Global,476933,TOP SECRET ELECTRONICS EXPLOITATION DEPLOYER,"Aberdeen Proving Ground, Maryland",TS/SCI,DISA JWCC – Joint Warfighting Cloud Capability; Joint Warfighting Cloud Capability; JWCC – ATAT Expansion Path,AWS; Microsoft; Google; Oracle; Amazon; Microsoft; Google; Oracle,"ABERDEEN PROVING GROUND, MARYLAND","Hiring Manager, Program Manager, Team Lead, Recruiter","TOP SECRET ELECTRONICS EXPLOITATION DEPLOYER, TS/SCI, federal contractor","""Hiring Manager"" AND (AWS; Microsoft; Google; Oracle OR Amazon; Microsoft; Google; Oracle) AND (Aberdeen Proving Ground)",8,State: MD; City: ABERDEEN PROVING GROUND
Insight Global,453153,ELECTRICAL ENGINEER 4,"Tucson, Arizona",Secret,"Integrated Digital Engineering Environment; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Integrated Battle Command System",Leidos; Northrop Grumman,"CHANDLER, ARIZONA; MORGANTOWN, WEST VIRGINIA; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","ELECTRICAL ENGINEER 4, Secret, federal contractor","""Engineering Manager"" AND (Leidos OR Northrop Grumman) AND (Tucson)",8,"Keywords: engineering, environment, integrated"
Insight Global,478759,CAPTURE MANAGER,"Huntsville, Alabama",Secret,Global Service Management – Operations II; Global Solutions Management – Operations II; Army Enterprise Service Management Framework,SAIC; Leidos,"HOUSTON, TEXAS; COLORADO SPRINGS, COLORADO; MORGANTOWN, WEST VIRGINIA","Director, VP, Senior Manager, Program Director","CAPTURE MANAGER, Secret, federal contractor","""Director"" AND (Leidos) AND (Huntsville)",8,"Keywords: service, global, operations"
Insight Global,481972,SECRET NETWORK ENGINEER,"Fairfax, Virginia",Secret,"NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); GPS Next-Gen Operational Control System; Army IT Enterprise Mgmt Systems Solution",Raytheon Intelligence & Space; CACI; Leidos,"AURORA, COLORADO; ARLINGTON, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SECRET NETWORK ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (Raytheon Intelligence & Space OR Leidos) AND (Fairfax)",10,"Keywords: next, generation, service"
Insight Global,476455,COLDFUSION DEVELOPER,"New York, New York",,Global Service Management – Operations II; Global Solutions Management – Operations II; Intelligence Systems Infrastructure Tools & Enhancements,Northrop Grumman; Leidos,"HOUSTON, TEXAS; ROY, UTAH; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","COLDFUSION DEVELOPER, None, federal contractor","""Engineering Manager"" AND (Leidos) AND (New York)",6,"Keywords: service, global, management"
Insight Global,476549,CNC PROGRAMMER,"Jacksonville, Florida",,Advanced Medium-Range Air-to-Air Missile (AMRAAM) Production & Sustainment; DIA Information Systems Engineering Office; DISA Global Service Mgmt – Ops II,Raytheon; Leidos,"FREDERICK, MARYLAND; MORGANTOWN, WEST VIRGINIA; ANDOVER, MASSACHUSETTS","Hiring Manager, Program Manager, Team Lead, Recruiter","CNC PROGRAMMER, None, federal contractor","""Hiring Manager"" AND (Raytheon OR Leidos) AND (Jacksonville)",4,"Keywords: production, range"
Insight Global,479258,JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER,"Hill AFB, Utah",Secret,SPICE (Space Payload Integration & Cyber Eng); Global Command and Control System – Joint; DIA Information Systems Engineering Office,Leidos; SAIC / LinQuest (indicative); Northrop Grumman,"FREDERICK, MARYLAND; SAN ANTONIO, TEXAS; ROY, UTAH","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","JUNIOR NUCLEAR HARDNESS ELECTRICAL ENGINEER, Secret, federal contractor","""Engineering Manager"" AND (SAIC / LinQuest (indicative) OR Northrop Grumman) AND (Hill AFB)",14,"Acronym: SPICE; Keywords: spice, integration"
Insight Global,477425,SIMULATION SYSTEMS ENGINEER II,"Suffolk, Virginia",,"NARSIL – Advanced Research for System Intelligence & Learning; NGEN-R SMIT – Navy Next Generation Enterprise Network (Service Management, Integration & Transport); Army Backbone Infrastructure Modernization – Task Order 2",Peraton; CACI; Leidos,"HERNDON, VIRGINIA; CHANTILLY, VIRGINIA; MORGANTOWN, WEST VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","SIMULATION SYSTEMS ENGINEER II, None, federal contractor","""Engineering Manager"" AND (Peraton OR Leidos) AND (Suffolk)",11,"Keywords: learning, research, system; State: VA"
Insight Global,426530,CLEARED GNC SR. PRINCIPAL ENGINEER,"Chandler, Arizona",,Hypersonic & Ballistic Tracking Space Sensor; Army Integrated Battle Command System; GMD Weapon System (Ground C2),Northrop & L3Harris (co-primes); Northrop Grumman,"CHANDLER, ARIZONA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","CLEARED GNC SR. PRINCIPAL ENGINEER, None, federal contractor","""Engineering Manager"" AND (Northrop & L3Harris (co-primes) OR Northrop Grumman) AND (Chandler)",14,"Keywords: hypersonic, space, tracking; State: AZ; City: CHANDLER"
Insight Global,434176,SECRET CLEARED TECHNICAL WRITER,"San Diego, California",Secret,GBS (Global Broadcast Service); Global Broadcast Service; Global Service Management – Operations II,L3Harris; L3Harris (historical); Leidos,"MORGANTOWN, WEST VIRGINIA; ANAHEIM, CALIFORNIA","Hiring Manager, Program Manager, Team Lead, Recruiter","SECRET CLEARED TECHNICAL WRITER, Secret, federal contractor","""Hiring Manager"" AND (L3Harris OR L3Harris (historical)) AND (San Diego)",7,"Keywords: service, global; State: CA"
Insight Global,471236,ONSITE PLM APPLICATION ANALYST,"East Hartford, Connecticut",,Advanced Battle Management System; Army Enterprise Service Management Framework; Army AESD Enterprise Service Desk,Multi (SAIC supports parts); SAIC,"SAN ANTONIO, TEXAS; COLORADO SPRINGS, COLORADO","Analytics Manager, Program Manager, Team Lead, Hiring Manager","ONSITE PLM APPLICATION ANALYST, None, federal contractor","""Analytics Manager"" AND (Multi (SAIC supports parts) OR SAIC) AND (East Hartford)",7,"Keywords: system, advanced; State: CO"
Insight Global,480870,TOP SECRET .NET DEVELOPER,"Ashburn, Virginia",Top Secret,Army IT Enterprise Mgmt Systems Solution; CMS Enterprise Cloud Infrastructure Services; DLA J6 Enterprise Technology Services,CACI; Deloitte; SAIC; GDIT; Peraton / SAIC (indicative); CACI,"STERLING, VIRGINIA; HERNDON, VIRGINIA; ARLINGTON, VIRGINIA","Engineering Manager, Technical Lead, Program Manager, Hiring Manager","TOP SECRET .NET DEVELOPER, Top Secret, federal contractor","""Engineering Manager"" AND (Peraton / SAIC (indicative) OR CACI) AND (Ashburn)",7,"Keywords: solution, systems; State: VA"
Insight Global,447457,TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST,"Alexandria, Virginia",TS/SCI,Air Force Advanced Battle Management System; Integrated Base Defense Security System; Global Command and Control System – Joint,"Northrop Grumman; Multiple: SAIC, Leidos, Booz Allen Hamilton; Leidos","HERNDON, VIRGINIA; ROY, UTAH; RESTON, VIRGINIA","Analytics Manager, Program Manager, Team Lead, Hiring Manager","TS/SCI COMPLY-TO-CONNECT & ENDPOINT POLICY ANALYST, TS/SCI, federal contractor","""Analytics Manager"" AND (Multiple: SAIC, Leidos, Booz Allen Hamilton OR Leidos) AND (Alexandria)",9,"Keywords: force, system, management; State: VA"
